addr,x,y,null,null.1
60000040:,001a1f24,$...,,
60000040:,001a203c,<,..,
60000040:,001a1414,....,,
60000040:,001a1ebc,....,,
60000040:,001a18e4,....,,
60000040:,001a1090,....,,
60000040:,001a11e4,....,,
60000040:,001a0948,H...,,
60000040:,001a06ec,....,,
60000040:,001a4424,$D..,,
60000040:,001a3e70,p>..,,
60000040:,001a4788,.G..,,
60000040:,001a2480,.$..,,
60000040:,001a3d1c,.=..,,
60000040:,001a3e04,.>..,,
60000040:,001a338c,.3..,,
60000040:,001a40c8,.@..,,
60000040:,001a2654,T&..,,
60000040:,001a40ec,.@..,,
60000040:,001a270c,.'..,,
60000040:,001a2fc0,./..,,
60000040:,001a2bb4,.+..,,
60000040:,001a2ff8,./..,,
60000040:,001a2bb4,.+..,,
60000040:,001a2d4c,L-..,,
60000040:,001a4d70,pM..,,
60000040:,001aa480,....,,
60000040:,001a7bc8,.{..,,
60000040:,001ac7d4,....,,
60000040:,001a66a4,.f..,,
60000040:,001a665c,\f..,,
60000040:,001a6a34,4j..,,
60000040:,001a55cc,.U..,,
60000040:,001a38b4,.8..,,
60000040:,001a7a44,Dz..,,
60000040:,001a6958,Xi..,,
60000040:,001a6e30,0n..,,
60000040:,001a5d28,(]..,,
60000040:,001a8c80,....,,
60000040:,001aaa80,....,,
60000040:,001a8f50,P...,,
60000040:,001a6c9c,.l..,,
60000040:,001a6bb0,.k..,,
60000040:,001a5f8c,._..,,
60000040:,001a88f0,....,,
60000040:,001a70cc,.p..,,
60000040:,001a8f00,....,,
60000040:,001a8da8,....,,
60000040:,001a7778,xw..,,
60000040:,001a5f6c,l_..,,
60000040:,001b0558,X...,,
60000040:,001a7b60,`{..,,
60000040:,001a539c,.S..,,
60000040:,001a7488,.t..,,
60000040:,001a5f10,._..,,
60000040:,001a65a8,.e..,,
60000040:,001a5f9c,._..,,
60000040:,001a57b0,.W..,,
60000040:,001a6754,Tg..,,
60000040:,001a4f48,HO..,,
60000040:,001a3060,`0..,,
60000040:,001a3a9c,.:..,,
60000040:,001a40f0,.@..,,
60000040:,001a2c20,",..",,
60000040:,001a3958,X9..,,
60000040:,001a3234,42..,,
60000040:,001a2bdc,.+..,,
60000040:,001a49dc,.I..,,
60000040:,001a4310,.C..,,
60000040:,001a35e8,.5..,,
60000040:,001a261c,.&..,,
60000040:,001a3edc,.>..,,
60000040:,001a230c,.,,
60000040:,001a3b10,.;..,,
60000040:,001a19fc,....,,
60000040:,001a2aa0,.*..,,
60000040:,001a31ec,.1..,,
60000040:,001a4c18,.L..,,
60000040:,001a261c,.&..,,
60000040:,001a44c0,.D..,,
60000040:,001a9cfc,....,,
60000040:,001a4054,T@..,,
60000040:,001a36c4,.6..,,
60000040:,001a1fe4,....,,
60000040:,001a2e34,4...,,
60000040:,001a0308,....,,
60000040:,001a1614,....,,
60000040:,001a13cc,....,,
60000040:,001a168c,....,,
60000040:,001a1e64,d...,,
60000040:,001a1258,X...,,
60000040:,001a0ba8,....,,
60000040:,001a1300,....,,
60000040:,001a0014,....,,
60000040:,0019fea8,....,,
60000040:,0019f5c4,....,,
60000040:,0019f95c,\...,,
60000040:,001a1574,t...,,
60000040:,0019fc6c,l...,,
60000040:,001a0e30,0...,,
60000040:,0019f050,P...,,
60000040:,0019f6cc,....,,
60000040:,001a0448,H...,,
60000040:,001a1790,....,,
60000040:,0019f25c,\...,,
60000040:,001a2bc0,.+..,,
60000040:,001a3ddc,.=..,,
60000040:,001a1aa0,....,,
60000040:,001a1e4c,L...,,
60000040:,0019e994,....,,
60000040:,0019e4a8,....,,
60000040:,0019df14,....,,
60000040:,001a2994,.)..,,
60000040:,001a0688,....,,
60000040:,0019e7d0,....,,
60000040:,001a00c8,....,,
60000040:,001a0b44,D...,,
60000040:,001a0d18,....,,
60000040:,001a0b78,x...,,
60000040:,001bf2ac,....,,
60000040:,001bff04,....,,
60000040:,001bf084,....,,
60000040:,001be4fc,....,,
60000040:,001bde9c,....,,
60000040:,001be378,x...,,
60000040:,001bd1c8,....,,
60000040:,001bd180,....,,
60000040:,001bcb38,8...,,
60000040:,001bc398,....,,
60000040:,001bc518,....,,
60000040:,001bbd38,8...,,
60000040:,001bb31c,....,,
60000040:,001ba2f8,....,,
60000040:,001ba878,x...,,
60000040:,001b9fa0,....,,
60000040:,001b9584,....,,
60000040:,001b8d48,H...,,
60000040:,001b7c08,.|..,,
60000040:,001b7b48,H{..,,
60000040:,001b84cc,....,,
60000040:,001b8614,....,,
60000040:,001b7028,(p..,,
60000040:,001b68f4,.h..,,
60000040:,001b5e1c,.^..,,
60000040:,001b5c70,p\..,,
60000040:,001b5814,.X..,,
60000040:,001b5a70,pZ..,,
60000040:,001b5e9c,.^..,,
60000040:,001b5700,.W..,,
60000040:,001b55a0,.U..,,
60000040:,001b453c,<E..,,
60000040:,001b4ffc,.O..,,
60000040:,001b3df4,.=..,,
60000040:,001b4398,.C..,,
60000040:,001b5204,.R..,,
60000040:,001b466c,lF..,,
60000040:,001b4a6c,lJ..,,
60000040:,001b4268,hB..,,
60000040:,001b4480,.D..,,
60000040:,001b444c,LD..,,
60000040:,001b2a3c,<*..,,
60000040:,001b29cc,.)..,,
60000040:,001b2efc,....,,
60000040:,001b303c,<0..,,
60000040:,001b2938,8)..,,
60000040:,001b2550,P%..,,
60000040:,001b1f20,...,,
60000040:,001b1d88,....,,
60000040:,001b0e80,....,,
60000040:,001b14d4,....,,
60000040:,001b1b00,....,,
60000040:,001b1928,(...,,
60000040:,001b1898,....,,
60000040:,001b1754,T...,,
60000040:,001b1f30,0...,,
60000040:,001b4060,`@..,,
60000040:,001b47f0,.G..,,
60000040:,001a8d2c,",...",,
60000040:,001a4ff0,.O..,,
60000040:,001a81e0,....,,
60000040:,001a3cfc,.<..,,
60000040:,001b7d78,x}..,,
60000040:,001a8ed0,....,,
60000040:,001acdb4,....,,
60000040:,001a3290,.2..,,
60000040:,001a19c4,....,,
60000040:,001a28cc,.(..,,
60000040:,0019f3ac,....,,
60000040:,001a1340,@...,,
60000040:,001a1dec,....,,
60000040:,001a564c,LV..,,
60000040:,001ad580,....,,
60000040:,001abadc,....,,
60000040:,001a2694,.&..,,
60000040:,001a42e4,.B..,,
60000040:,001a45ec,.E..,,
60000040:,001b66d4,.f..,,
60000040:,001a33d0,.3..,,
60000040:,0019fe0c,....,,
60000040:,0019ffa0,....,,
60000040:,001a04f0,....,,
60000040:,001a092c,",...",,
60000040:,0019ff34,4...,,
60000040:,0019e628,(...,,
60000040:,001a096c,l...,,
60000040:,0019f904,....,,
60000040:,001a37cc,.7..,,
60000040:,001a0a90,....,,
60000040:,0019ead8,....,,
60000040:,001ab0a0,....,,
60000040:,0019ef48,H...,,
60000040:,001a370c,.7..,,
60000040:,0019efc8,....,,
60000040:,001a264c,L&..,,
60000040:,001a004c,L...,,
60000040:,001a09ac,....,,
60000040:,0019f060,`...,,
60000040:,0019d440,@...,,
60000040:,0019e430,0...,,
60000040:,0019fecc,....,,
60000040:,001a0740,@...,,
60000040:,0019facc,....,,
60000040:,001a1108,....,,
60000040:,001a0bac,....,,
60000040:,0019d1a4,....,,
60000040:,0019e134,4...,,
60000040:,0019eaa8,....,,
60000040:,001a065c,\...,,
60000040:,0019b2cc,....,,
60000040:,0019cb90,....,,
60000040:,0019d8bc,....,,
60000040:,0019a8bc,....,,
60000040:,0019bf2c,",...",,
60000040:,0019b098,....,,
60000040:,0019b1ac,....,,
60000040:,0019d220,...,,
60000040:,0019e7ac,....,,
60000040:,0019e420,...,,
60000040:,0019ccb4,....,,
60000040:,0019bd78,x...,,
60000040:,0019cdd0,....,,
60000040:,0019b060,`...,,
60000040:,0019bb08,....,,
60000040:,00199914,....,,
60000040:,0019a9cc,....,,
60000040:,0019b890,....,,
60000040:,0019ca60,`...,,
60000040:,0019b12c,",...",,
60000040:,0019cba4,....,,
60000040:,0019a418,....,,
60000040:,0019cc34,4...,,
60000040:,0019b6f8,....,,
60000040:,00199534,4...,,
60000040:,0019c6b8,....,,
60000040:,0019cad0,....,,
60000040:,0019a3f8,....,,
60000040:,00199bc4,....,,
60000040:,001988b0,....,,
60000040:,0019940c,....,,
60000040:,001992b4,....,,
60000040:,0019811c,....,,
60000040:,00198d74,t...,,
60000040:,001982e8,....,,
60000040:,0019d234,4...,,
60000040:,00198148,H...,,
60000040:,0019bee0,....,,
60000040:,0019a730,0...,,
60000040:,00199b38,8...,,
60000040:,00199430,0...,,
60000040:,001989fc,....,,
60000040:,00198630,0...,,
60000040:,00196e04,.n..,,
60000040:,00198544,D...,,
60000040:,00198290,....,,
60000040:,00196030,0`..,,
60000040:,00196800,.h..,,
60000040:,00199070,p...,,
60000040:,001985b8,....,,
60000040:,001987ec,....,,
60000040:,00197730,0w..,,
60000040:,00196fa8,.o..,,
60000040:,00197060,`p..,,
60000040:,00197270,pr..,,
60000040:,00197390,.s..,,
60000040:,00196f08,.o..,,
60000040:,00199a2c,",...",,
60000040:,00196830,0h..,,
60000040:,00196318,.c..,,
60000040:,001940c8,.@..,,
60000040:,00199bd0,....,,
60000040:,00198834,4...,,
60000040:,00196514,.e..,,
60000040:,00197f90,....,,
60000040:,001981a0,....,,
60000040:,001985a4,....,,
60000040:,001969fc,.i..,,
60000040:,00194b24,$K..,,
60000040:,00199c34,4...,,
60000040:,00196dd0,.m..,,
60000040:,00196020,`..,,
60000040:,0019853c,<...,,
60000040:,00197954,Ty..,,
60000040:,001988ec,....,,
60000040:,00195448,HT..,,
60000040:,00193e10,.>..,,
60000040:,00198314,....,,
60000040:,00198eb0,....,,
60000040:,00195110,.Q..,,
60000040:,001963e0,.c..,,
60000040:,00194fd8,.O..,,
60000040:,001966f8,.f..,,
60000040:,00196834,4h..,,
60000040:,00196528,(e..,,
60000040:,00195954,TY..,,
60000040:,00195854,TX..,,
60000040:,00196bdc,.k..,,
60000040:,0019a004,....,,
60000040:,00194880,.H..,,
60000040:,001951dc,.Q..,,
60000040:,0019534c,LS..,,
60000040:,00196f94,.o..,,
60000040:,00196054,T`..,,
60000040:,0019597c,|Y..,,
60000040:,001987b8,....,,
60000040:,001950d8,.P..,,
60000040:,00195a1c,.Z..,,
60000040:,00195298,.R..,,
60000040:,00195518,.U..,,
60000040:,00193be8,.;..,,
60000040:,00196b40,@k..,,
60000040:,0019781c,.x..,,
60000040:,0019919c,....,,
60000040:,001941e8,.A..,,
60000040:,00194080,.@..,,
60000040:,00191cb4,....,,
60000040:,00193a04,.:..,,
60000040:,00193e18,.>..,,
60000040:,001a5518,.U..,,
60000040:,001937d0,.7..,,
60000040:,001935d0,.5..,,
60000040:,001964d8,.d..,,
60000040:,001957c8,.W..,,
60000040:,0019d830,0...,,
60000040:,0019bd3c,<...,,
60000040:,0019be24,$...,,
60000040:,00197f28,(...,,
60000040:,001a373c,<7..,,
60000040:,0019ef0c,....,,
60000040:,001a2628,(&..,,
60000040:,00199270,p...,,
60000040:,0019957c,|...,,
60000040:,0019a268,h...,,
60000040:,0019a1e4,....,,
60000040:,0019575c,\W..,,
60000040:,00198f08,....,,
60000040:,0019cee4,....,,
60000040:,00199f10,....,,
60000040:,00195968,hY..,,
60000040:,001951f0,.Q..,,
60000040:,00198954,T...,,
60000040:,001941b4,.A..,,
60000040:,00191cb8,....,,
60000040:,0019d430,0...,,
60000040:,0019d8f4,....,,
60000040:,0019e860,`...,,
60000040:,00197ec8,.~..,,
60000040:,0019ec58,X...,,
60000040:,00197f1c,....,,
60000040:,00193abc,.:..,,
60000040:,001933d8,.3..,,
60000040:,00192bc4,.+..,,
60000040:,0019528c,.R..,,
60000040:,00197ef0,.~..,,
60000040:,00195440,@T..,,
60000040:,00193b50,P;..,,
60000040:,001922f4,".""..",,
60000040:,00193f20,?..,,
60000040:,0019784c,Lx..,,
60000040:,001981e8,....,,
60000040:,00197264,dr..,,
60000040:,00192a98,.*..,,
60000040:,001ae220,...,,
60000040:,001a6144,Da..,,
60000040:,0019fa24,$...,,
60000040:,001950a8,.P..,,
60000040:,0019e310,....,,
60000040:,001964d4,.d..,,
60000040:,00192844,D(..,,
60000040:,001e9084,....,,
60000040:,001a155c,\...,,
60000040:,0019bae8,....,,
60000040:,0019cc38,8...,,
60000040:,0019be98,....,,
60000040:,0019a638,8...,,
60000040:,0019a59c,....,,
60000040:,0019ca4c,L...,,
60000040:,001a5b30,0[..,,
60000040:,0019f1e4,....,,
60000040:,0019da40,@...,,
60000040:,001a0c48,H...,,
60000040:,001a1fbc,....,,
60000040:,0019d06c,l...,,
60000040:,0019d1a4,....,,
60000040:,00193e98,.>..,,
60000040:,001a1fc0,....,,
60000040:,001c78e0,.x..,,
60000040:,0019caf0,....,,
60000040:,0019d908,....,,
60000040:,00190df0,....,,
60000040:,00193f60,`?..,,
60000040:,0019ada8,....,,
60000040:,001972c8,.r..,,
60000040:,00198a80,....,,
60000040:,00191f58,X...,,
60000040:,0019325c,\2..,,
60000040:,00194ac0,.J..,,
60000040:,00192e64,d...,,
60000040:,00194594,.E..,,
60000040:,00195978,xY..,,
60000040:,00195340,@S..,,
60000040:,00192094,.,..,
60000040:,00192060,`,..,
60000040:,0019a650,P...,,
60000040:,001c911c,....,,
60000040:,001c6d74,tm..,,
60000040:,001c87dc,....,,
60000040:,001c6838,8h..,,
60000040:,001c5c94,.\..,,
60000040:,001c5bac,.[..,,
60000040:,001c5fc0,._..,,
60000040:,001c492c,",I..",,
60000040:,001c4f54,TO..,,
60000040:,001c5564,dU..,,
60000040:,001c48bc,.H..,,
60000040:,001c4aac,.J..,,
60000040:,001c36fc,.6..,,
60000040:,001c200c,.,..,
60000040:,001c34dc,.4..,,
60000040:,001c6188,.a..,,
60000040:,001ddbe0,....,,
60000040:,001ddc60,`...,,
60000040:,001dd07c,|...,,
60000040:,001dbab8,....,,
60000040:,001dbc6c,l...,,
