addr,x,y,null,null.1
60000098:,003fcfcc,0000132c,"..?.,...",
60000098:,003fb7b0,00001aac,..?.....,
60000098:,003fa018,00001d9c,..?.....,
60000098:,003f877c,00002704,|.?..'..,
60000098:,003f6ed0,00002d38,.n?.8-..,
60000098:,003f5a40,0000317c,@Z?.|1..,
60000098:,003f4270,0000391c,pB?..9..,
60000098:,003f28a0,000040d8,.(?..@..,
60000098:,003f141c,00004664,..?.dF..,
60000098:,003efef8,00004ccc,..>..L..,
60000098:,003ee9c8,0000503c,..>.<P..,
60000098:,003ed7d0,000053f8,..>..S..,
60000098:,003ebfa8,00005934,..>.4Y..,
60000098:,003ea610,00006328,..>.(c..,
60000098:,003e92cc,0000698c,..>..i..,
60000098:,003e7cb4,00007358,.|>.Xs..,
60000098:,003e63f8,00007980,.c>..y..,
60000098:,003e49dc,00007e08,.I>..~..,
60000098:,003e34b0,000080dc,.4>.....,
60000098:,003e229c,00008860,"."">.`...",
60000098:,003e08e0,00008cac,..>.....,
60000098:,003df050,0000946c,P.=.l...,
60000098:,003de040,00009a38,@.=.8...,
60000098:,003dc84c,0000a0e4,L.=.....,
60000098:,003db47c,0000a454,|.=.T...,
60000098:,003d9c40,0000a9a8,@.=.....,
60000098:,003d8bd4,0000afd0,..=.....,
60000098:,003d76ec,0000b64c,.v=.L...,
60000098:,003d6274,0000bb18,tb=.....,
60000098:,003d52d8,0000ba3c,.R=.<...,
60000098:,003d4000,0000be1c,.@=.....,
60000098:,003d2c7c,0000c1ec,"|,=.....",
60000098:,003d1494,0000c4e0,..=.....,
60000098:,003cfec0,0000cb14,..<.....,
60000098:,003ce888,0000d010,..<.....,
60000098:,003cd3f4,0000d4b0,..<.....,
60000098:,003cb754,0000dff0,T.<.....,
60000098:,003ca12c,0000e544,",.<.D...",
60000098:,003c89cc,0000e6d4,..<.....,
60000098:,003c7494,0000ed40,.t<.@...,
60000098:,003c6220,0000f5ac,b<.....,
60000098:,003c4f0c,0000f950,.O<.P...,
60000098:,003c3b1c,00010150,.;<.P...,
60000098:,003c2488,0001051c,.$<.....,
60000098:,003c08d8,00010a00,..<.....,
60000098:,003bf368,00010d48,h.;.H...,
60000098:,003bdf3c,00010e88,<.;.....,
60000098:,003bce78,000116a4,x.;.....,
60000098:,003bbe70,00011c34,p.;.4...,
60000098:,003ba868,00012060,h.;.`,..
60000098:,003b9664,00012534,d.;.4%..,
60000098:,003b8a58,000127a0,X.;..'..,
60000098:,003b7c08,00012a54,.|;.T*..,
60000098:,003b74c8,00012e30,.t;.0...,
60000098:,003b69ac,00012f78,.i;.x/..,
60000098:,003b59a8,00013874,.Y;.t8..,
60000098:,003b49b0,00013a38,.I;.8:..,
60000098:,003b3754,00013a44,T7;.D:..,
60000098:,003b25a4,00013c5c,.%;.\<..,
60000098:,003b1174,00013ef0,t.;..>..,
60000098:,003afc10,00014288,..:..B..,
60000098:,003aeb90,00014488,..:..D..,
60000098:,003adcdc,00013fa0,..:..?..,
60000098:,003ad03c,00014054,<.:.T@..,
60000098:,003abf84,00014340,..:.@C..,
60000098:,003aa8ac,000145a0,..:..E..,
60000098:,003a94a8,0001479c,..:..G..,
60000098:,003a7d7c,00014ba4,|}:..K..,
60000098:,003a6aa8,00015148,.j:.HQ..,
60000098:,003a5978,0001504c,xY:.LP..,
60000098:,003a4394,00015664,.C:.dV..,
60000098:,003a2f4c,00015500,L/:..U..,
60000098:,003a14bc,00015d94,..:..]..,
60000098:,003a04e0,00016234,..:.4b..,
60000098:,0039f5e8,00016360,..9.`c..,
60000098:,0039de10,0001683c,..9.<h..,
60000098:,0039cc30,00016ae0,0.9..j..,
60000098:,0039bc24,000171a0,$.9..q..,
60000098:,0039a9c0,00017294,..9..r..,
60000098:,00399954,00017760,T.9.`w..,
60000098:,003988fc,00017cec,..9..|..,
60000098:,00397abc,00017d8c,.z9..}..,
60000098:,00396ba4,0001816c,.k9.l...,
60000098:,00395cb8,0001809c,.\9.....,
60000098:,00394fd4,00018370,.O9.p...,
60000098:,00393e74,000185d8,t>9.....,
60000098:,00392de0,000189b8,.-9.....,
60000098:,00391c88,00018ec8,..9.....,
60000098:,003907d0,000195d0,..9.....,
60000098:,0038f888,00019904,..8.....,
60000098:,0038e930,00019e80,0.8.....,
60000098:,0038d5dc,0001a2b8,..8.....,
60000098:,0038c688,0001a190,..8.....,
60000098:,0038b5fc,0001a618,..8.....,
60000098:,00389fb0,0001af34,..8.4...,
60000098:,003884fc,0001b72c,"..8.,...",
60000098:,00386f44,0001be78,Do8.x...,
60000098:,00385d98,0001c6a4,.]8.....,
60000098:,00384a58,0001c8f4,XJ8.....,
60000098:,003835a0,0001c64c,.58.L...,
60000098:,00382340,0001c80c,@,
60000098:,00380eec,0001cb68,..8.h...,
60000098:,0037f89c,0001d29c,..7.....,
60000098:,0037de8c,0001d30c,..7.....,
60000098:,0037cc90,0001d840,..7.@...,
60000098:,0037bf6c,0001db34,l.7.4...,
60000098:,0037adb8,0001dfb4,..7.....,
60000098:,00379b10,0001e53c,..7.<...,
60000098:,00378840,0001e968,@.7.h...,
60000098:,00377388,0001e978,.s7.x...,
60000098:,003759f4,0001ef60,.Y7.`...,
60000098:,003745d8,0001f23c,.E7.<...,
60000098:,00373518,0001f8c8,.57.....,
60000098:,003721d4,0001ff80,.!7.....,
60000098:,00370e58,0002041c,X.7.....,
60000098:,0036fe58,00020df4,X.6.....,
60000098:,0036e6ec,000212cc,..6.....,
60000098:,0036d3d8,0002196c,..6.l...,
60000098:,0036bee8,00021ca4,..6.....,
60000098:,0036a860,00021f78,`.6.x...,
60000098:,00369168,00022760,h.6.`'..,
60000098:,00367d88,00022848,.}6.H(..,
60000098:,003670e4,00023608,.p6..6..,
60000098:,00365ec0,00023cc4,.^6..<..,
60000098:,00364db0,000248b8,.M6..H..,
60000098:,00363a80,0002488c,.:6..H..,
60000098:,0036273c,00024ad0,<'6..J..,
60000098:,00360dc0,00025224,..6.$R..,
60000098:,0035fb18,000255b0,..5..U..,
60000098:,0035e30c,000258e4,..5..X..,
60000098:,0035d0d4,00025e08,..5..^..,
60000098:,0035bd6c,000267fc,l.5..g..,
60000098:,0035ab6c,0002703c,l.5.<p..,
60000098:,0035974c,000278e8,L.5..x..,
60000098:,00357ba0,000285dc,.{5.....,
60000098:,00356480,000288f4,.d5.....,
60000098:,00354eec,00028e94,.N5.....,
60000098:,00353800,000298fc,.85.....,
60000098:,00351e84,00029ebc,..5.....,
60000098:,00351064,0002a518,d.5.....,
60000098:,0034f5b4,0002ae54,..4.T...,
60000098:,0034df60,0002b4d4,`.4.....,
60000098:,0034cab0,0002bb60,..4.`...,
60000098:,0034b650,0002c3e4,P.4.....,
60000098:,00349764,0002cc08,d.4.....,
60000098:,00347eec,0002cf60,.~4.`...,
60000098:,00346b08,0002d76c,.k4.l...,
60000098:,00345a30,0002dc6c,0Z4.l...,
60000098:,00344978,0002df8c,xI4.....,
60000098:,00343558,0002e400,X54.....,
60000098:,00342434,0002ea24,4$4.$...,
60000098:,00340ec0,0002edc0,..4.....,
60000098:,0033fc4c,0002f2f0,L.3.....,
60000098:,0033e840,0002fa88,@.3.....,
60000098:,0033d518,0002fecc,..3.....,
60000098:,0033c0cc,000307d8,..3.....,
60000098:,0033b01c,000308f8,..3.....,
60000098:,00339700,00030e88,..3.....,
60000098:,003384b0,000314c8,..3.....,
60000098:,003371b0,00031a6c,.q3.l...,
60000098:,00336198,00031db4,.a3.....,
60000098:,00334864,00031fe8,dH3.....,
60000098:,00333638,0003289c,863..(..,
60000098:,00331f3c,00032ec0,<.3.....,
60000098:,00330ca8,0003330c,..3..3..,
60000098:,0032fa20,000337fc,.2..7..,
60000098:,0032e5a4,00033ee4,..2..>..,
60000098:,0032d310,0003479c,..2..G..,
60000098:,0032bad4,00034a60,..2.`J..,
60000098:,0032a548,00035180,H.2..Q..,
60000098:,00328c2c,00035638,",.2.8V..",
60000098:,00327130,00035fc4,0q2.._..,
60000098:,00325798,00036510,.W2..e..,
60000098:,00324324,0003711c,$C2..q..,
60000098:,00322a68,00037c88,h*2..|..,
60000098:,003211ec,000385b0,..2.....,
60000098:,0031f9d4,00038c28,..1.(...,
60000098:,0031df30,000394a8,0.1.....,
60000098:,0031ca10,00039c10,..1.....,
60000098:,0031b988,0003a29c,..1.....,
60000098:,0031a328,0003aba8,(.1.....,
60000098:,003191d4,0003b0bc,..1.....,
60000098:,00317d08,0003b794,.}1.....,
60000098:,00316b14,0003bbc8,.k1.....,
60000098:,0031510c,0003bed0,.Q1.....,
60000098:,00313b3c,0003c498,<;1.....,
60000098:,00311f74,0003c9bc,t.1.....,
60000098:,00310598,0003cf00,..1.....,
60000098:,0030f168,0003d680,h.0.....,
60000098:,0030d8d0,0003dd2c,"..0.,...",
60000098:,0030bf2c,0003e0ac,",.0.....",
60000098:,0030ac60,0003e54c,`.0.L...,
60000098:,0030932c,0003e5e4,",.0.....",
60000098:,00307b14,0003ee58,.{0.X...,
60000098:,00306a70,0003f264,pj0.d...,
60000098:,00305580,0003f918,.U0.....,
60000098:,003041b0,0003fe8c,.A0.....,
60000098:,00302900,000409d4,.)0.....,
60000098:,003016b4,00040f14,..0.....,
60000098:,002ffc14,000415ac,../.....,
60000098:,002fe3ec,00041f48,../.H...,
60000098:,002fce70,00042ae0,p./..*..,
60000098:,002fb63c,0004368c,<./..6..,
60000098:,002f9ce4,00043ae0,../..:..,
60000098:,002f7f14,000441a4,../..A..,
60000098:,002f63e0,000446dc,.c/..F..,
60000098:,002f4dbc,000450b4,.M/..P..,
60000098:,002f3198,00045a18,.1/..Z..,
60000098:,002f15a0,0004613c,../.<a..,
60000098:,002ef9a0,00046318,.....c..,
60000098:,002ee7e4,00046d38,....8m..,
60000098:,002ed25c,00047058,\...Xp..,
60000098:,002eb960,00047438,`...8t..,
60000098:,002ea154,00047e5c,T...\~..,
60000098:,002e89e0,0004845c,....\...,
60000098:,002e7374,00048d04,ts......,
60000098:,002e5918,000496fc,.Y......,
60000098:,002e3768,0004a140,h7..@...,
60000098:,002e1e00,0004aa50,....P...,
60000098:,002e0604,0004afe8,........,
60000098:,002df37c,0004b634,|.-.4...,
60000098:,002ddd44,0004bfc4,D.-.....,
60000098:,002dc5a8,0004c90c,..-.....,
60000098:,002dad70,0004d354,p.-.T...,
60000098:,002d9664,0004da2c,"d.-.,...",
60000098:,002d7bd8,0004e234,.{-.4...,
60000098:,002d5a70,0004e8f8,pZ-.....,
60000098:,002d43a8,0004f1b8,.C-.....,
60000098:,002d2794,0004fa20,.'-.,...
60000098:,002d0ce4,00050380,..-.....,
60000098:,002cf46c,00050784,"l.,.....",
60000098:,002cdf98,000513b0,"..,.....",
60000098:,002cc73c,00051ba0,"<.,.....",
60000098:,002cafe4,0005234c,"..,.L",
60000098:,002c9228,00052b40,"(.,.@+..",
60000098:,002c7dec,000531c4,".},..1..",
60000098:,002c6974,0005391c,"ti,..9..",
60000098:,002c5414,000540d0,".T,..@..",
60000098:,002c3b84,00054964,".;,.dI..",
60000098:,002c238c,000550e8,.,
60000098:,002c1050,0005591c,"P.,..Y..",
60000098:,002bf994,00055e68,..+.h^..,
60000098:,002be460,00056590,`.+..e..,
60000098:,002bcf14,000569cc,..+..i..,
60000098:,002bbbb0,00056e54,..+.Tn..,
60000098:,002ba7cc,00057958,..+.Xy..,
60000098:,002b8d64,000580b0,d.+.....,
60000098:,002b715c,00058580,\q+.....,
60000098:,002b5dc4,00058a90,.]+.....,
60000098:,002b4484,00058be8,.D+.....,
60000098:,002b2ea4,00059368,..+.h...,
60000098:,002b1438,000597b8,8.+.....,
60000098:,002afc28,00059da4,(.*.....,
60000098:,002ae760,0005a56c,`.*.l...,
60000098:,002acfbc,0005adbc,..*.....,
60000098:,002ac05c,0005b3b4,\.*.....,
60000098:,002aa848,0005bae8,H.*.....,
60000098:,002a941c,0005bdc0,..*.....,
60000098:,002a7bb4,0005c52c,".{*.,...",
60000098:,002a6a20,0005c6fc,j*.....,
60000098:,002a5160,0005cc90,`Q*.....,
60000098:,002a3fa4,0005d114,.?*.....,
60000098:,002a2b18,0005d6bc,.+*.....,
60000098:,002a1a80,0005dacc,..*.....,
60000098:,002a0314,0005e830,..*.0...,
60000098:,0029ee60,0005f054,`.).T...,
60000098:,0029d768,0005f944,h.).D...,
60000098:,0029c0ac,0005ff28,..).(...,
60000098:,0029abbc,00060a24,..).$...,
60000098:,002993d0,00061050,..).P...,
60000098:,00297cd4,00061850,.|).P...,
60000098:,002968cc,00061f44,.h).D...,
60000098:,002951a0,00062560,.Q).`%..,
60000098:,00293eb4,0006281c,.>)..(..,
60000098:,00292b64,00062e84,d+).....,
60000098:,00291390,00063524,..).$5..,
60000098:,0028fbfc,00063a7c,..(.|:..,
60000098:,0028e850,000641e0,P.(..A..,
60000098:,0028d34c,000647d4,L.(..G..,
60000098:,0028b904,000648a0,..(..H..,
60000098:,0028a4b4,00064d98,..(..M..,
60000098:,00288e88,000652a8,..(..R..,
60000098:,00287b94,00065420,.{(.,T..
60000098:,002866f0,00065a88,.f(..Z..,
60000098:,0028549c,0006677c,.T(.|g..,
60000098:,00283f44,00066d98,D?(..m..,
60000098:,00282ae0,00067250,.*(.Pr..,
60000098:,0028140c,00067b3c,..(.<{..,
60000098:,0027fd80,000682ac,..'.....,
60000098:,0027e684,00068b38,..'.8...,
60000098:,0027d0ac,000690a4,..'.....,
60000098:,0027b7a0,00069310,..'.....,
60000098:,00279c0c,00069bf0,..'.....,
60000098:,002784b0,0006a598,..'.....,
60000098:,00276ba8,0006ae90,.k'.....,
60000098:,0027536c,0006b828,lS'.(...,
60000098:,00273e04,0006c2a8,.>'.....,
60000098:,00272550,0006cb88,P%'.....,
60000098:,002714e0,0006d308,..'.....,
60000098:,0026ff9c,0006d840,..&.@...,
60000098:,0026e36c,0006dcbc,l.&.....,
60000098:,0026cc80,0006e238,..&.8...,
60000098:,0026b8c8,0006e660,..&.`...,
60000098:,00269fc0,0006ec88,..&.....,
60000098:,00268b08,0006f4cc,..&.....,
60000098:,00267844,0006fba8,Dx&.....,
60000098:,002660c0,0007034c,.`&.L...,
60000098:,00264ac4,000708d0,.J&.....,
60000098:,00262ef0,000711a0,..&.....,
60000098:,00261a1c,00071638,..&.8...,
60000098:,00260304,00071b60,..&.`...,
60000098:,0025e984,000721d8,..%..!..,
60000098:,0025d3e4,00072998,..%..)..,
60000098:,0025c158,00073038,X.%.80..,
60000098:,0025a5ac,000736fc,..%..6..,
60000098:,002591fc,00073c50,..%.P<..,
60000098:,002578e4,00074400,.x%..D..,
60000098:,00255e14,0007451c,.^%..E..,
60000098:,002546ac,00074dd4,.F%..M..,
60000098:,0025370c,0007544c,.7%.LT..,
60000098:,002520b0,00075d38,.,%.8]..
60000098:,00250b58,00076278,X.%.xb..,
60000098:,0024f340,00076624,@.$.$f..,
60000098:,0024d784,00076e54,..$.Tn..,
60000098:,0024bccc,00077650,..$.Pv..,
60000098:,0024a588,00077d7c,..$.|}..,
60000098:,00248558,000787d0,X.$.....,
60000098:,00245c90,00079638,.\$.8...,
60000098:,00243198,0007a588,.1$.....,
60000098:,0024073c,0007b3b4,<.$.....,
60000098:,0023def0,0007c158,..,
60000098:,0023b2bc,0007d158,..,
60000098:,002387cc,0007dfe0,..,
60000098:,00235e40,0007ee68,@^,
60000098:,00233434,0007fc8c,44,
60000098:,00230a4c,00080a7c,L.,
60000098:,0022df94,0008192c,".."".,...",
60000098:,0022b520,00082798,".""..'..",
60000098:,00228c5c,0008352c,"\."".,5..",
60000098:,00225ef4,0008457c,".^"".|E..",
60000098:,00223488,000854a0,".4""..T..",
60000098:,00220944,000863d8,"D.""..c..",
60000098:,0021de18,000873cc,..!..s..,
60000098:,0021b1e0,000883ac,..!.....,
60000098:,00218570,000893a0,p.!.....,
60000098:,00215a58,0008a280,XZ!.....,
60000098:,00213018,0008b0e8,.0!.....,
60000098:,00210518,0008bfdc,..!.....,
60000098:,0020da5c,0008cee0,\.,.....
60000098:,0020af50,0008dd48,P.,.H...
60000098:,002084fc,0008ec84,..,.....
60000098:,00205b0c,0008fb44,.[,.D...
60000098:,00203030,000909ec,00,.....
60000098:,00200440,0009191c,@.,.....
60000098:,001fd864,000927b0,d....'..,
60000098:,001fae08,00093690,.....6..,
60000098:,001f83d8,00094540,....@E..,
60000098:,001f5894,0009552c,".X..,U..",
60000098:,001f2dc8,00096498,.-...d..,
60000098:,001f05e0,000971b4,.....q..,
60000098:,001edb74,00097fd4,t.......,
60000098:,001eb2a4,00098dd0,........,
60000098:,001e89c4,000999ec,........,
60000098:,001e5ec0,0009a880,.^......,
60000098:,001e34c0,0009b7f8,.4......,
60000098:,001e0848,0009c940,H...@...,
60000098:,001ddcbc,0009d8f8,........,
60000098:,001db114,0009e7e8,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,00000000,00000000,........,
60000098:,003febcc,000001c0,..?.....,
60000098:,003fcacc,000005d0,..?.....,
60000098:,003fb1d4,0000035c,..?.\...,
60000098:,003f93bc,00000b64,..?.d...,
60000098:,003f7924,0000133c,$y?.<...,
60000098:,003f5c68,00001ebc,h\?.....,
60000098:,003f3c00,000022b0,".<?..""..",
60000098:,003f2354,00002c94,T,
60000098:,003f014c,000038b4,L.?..8..,
60000098:,003edc7c,00004840,|.>.@H..,
60000098:,003eb1a8,000053b8,..>..S..,
60000098:,003ea204,000066f4,..>..f..,
60000098:,003e86b0,00006d0c,..>..m..,
60000098:,003e765c,00006c60,\v>.`l..,
60000098:,003e64ac,00007674,.d>.tv..,
60000098:,003e4650,000078f0,PF>..x..,
60000098:,003e37d4,00007f24,.7>.$...,
60000098:,003e22e0,000085e8,"."">.....",
60000098:,003e1250,00008c2c,"P.>.,...",
60000098:,003df0c8,00009b28,..=.(...,
60000098:,003dc84c,0000a658,L.=.X...,
60000098:,003dad9c,0000ac8c,..=.....,
60000098:,003d83a0,0000bbc4,..=.....,
60000098:,003d5bd0,0000c7bc,.[=.....,
60000098:,003d2e64,0000dbd8,d.=.....,
60000098:,003d0420,0000e41c,.=.....,
60000098:,003cd4b8,0000ead0,..<.....,
60000098:,003cb038,0000f9c4,8.<.....,
60000098:,003c80b4,0000fda0,..<.....,
60000098:,003c68d8,00010344,.h<.D...,
60000098:,003c4bbc,000105d4,.K<.....,
60000098:,003c2e54,00010ec0,T.<.....,
60000098:,003c07e0,00010f70,..<.p...,
60000098:,003bec08,0001164c,..;.L...,
60000098:,003bcb34,00011e34,4.;.4...,
60000098:,003b9c28,000129e0,(.;..)..,
60000098:,003b79d0,00012c50,".y;.P,..",
60000098:,003b5de4,000134bc,.];..4..,
60000098:,003b3a68,00013d34,h:;.4=..,
60000098:,003b1ef0,00014590,..;..E..,
60000098:,003af918,000148e8,..:..H..,
60000098:,003ae1ec,000150ac,..:..P..,
60000098:,003ac85c,00015acc,\.:..Z..,
60000098:,003aa5d0,00016504,..:..e..,
60000098:,003a83cc,0001716c,..:.lq..,
60000098:,003a61a0,00017308,.a:..s..,
60000098:,003a466c,00017644,lF:.Dv..,
60000098:,003a3478,00016934,x4:.4i..,
60000098:,003a1a8c,000161a8,..:..a..,
60000098:,003a0470,000169bc,p.:..i..,
60000098:,0039f33c,000167cc,<.9..g..,
60000098:,0039e298,000164b8,..9..d..,
60000098:,0039cb28,00016e30,(.9.0n..,
60000098:,0039b7d4,00016eb0,..9..n..,
60000098:,0039a814,0001637c,..9.|c..,
60000098:,00399144,00016104,D.9..a..,
60000098:,0039760c,0001608c,.v9..`..,
60000098:,0039657c,00015d7c,|e9.|]..,
60000098:,00394628,00016488,(F9..d..,
60000098:,00392e4c,0001659c,L.9..e..,
60000098:,00391088,00017388,..9..s..,
60000098:,0038eb20,00018174,.8.t...,
60000098:,0038d3f0,00018b2c,"..8.,...",
60000098:,0038ad1c,00019424,..8.$...,
60000098:,00388d34,0001a240,4.8.@...,
60000098:,00386ebc,0001a774,.n8.t...,
60000098:,00384c04,0001b350,.L8.P...,
60000098:,00382fc0,0001befc,./8.....,
60000098:,003815b4,0001bd1c,..8.....,
60000098:,0037f1ec,0001bcf4,..7.....,
60000098:,0037ca54,0001c838,T.7.8...,
60000098:,0037a72c,0001d2e0,",.7.....",
60000098:,003780ec,0001e058,..7.X...,
60000098:,00375a18,0001e740,.Z7.@...,
60000098:,0037304c,0001ebe8,L07.....,
60000098:,00370b20,0001efdc,.7.....,
60000098:,0036e670,0001ed38,p.6.8...,
60000098:,0036b484,0001f5a0,..6.....,
60000098:,00369038,0001ff88,8.6.....,
60000098:,00366d24,000207b0,$m6.....,
60000098:,0036501c,00021514,.P6.....,
60000098:,00363108,00021ed0,.16.....,
60000098:,00361638,000224a0,8.6..$..,
60000098:,0035ed18,00022910,..5..)..,
60000098:,0035cdfc,000237ac,..5..7..,
60000098:,0035af10,0002432c,"..5.,C..",
60000098:,003594a4,00024d30,..5.0M..,
60000098:,00357278,00025cbc,xr5..\..,
60000098:,00354d7c,00026f10,|M5..o..,
60000098:,003521ec,000279f4,.!5..y..,
