addr,x,y,null,null.1
60000098:,003fe560,00000714,`.?.....,
60000098:,003fd800,00000c70,..?.p...,
60000098:,003fcd48,0000087c,H.?.|...,
60000098:,003fc02c,00000c2c,",.?.,...",
60000098:,003fb5f8,000017e0,..?.....,
60000098:,003fa494,00001850,..?.P...,
60000098:,003f9ec4,00001268,..?.h...,
60000098:,003f82fc,00001810,..?.....,
60000098:,003f5a28,00002108,(Z?..!..,
60000098:,003f3450,00002b54,P4?.T+..,
60000098:,003f1330,00003bc0,0.?..;..,
60000098:,003f0010,00003f9c,..?..?..,
60000098:,003ed848,00004a80,H.>..J..,
60000098:,003ec254,000054f8,T.>..T..,
60000098:,003eb8e8,0000597c,..>.|Y..,
60000098:,003ea564,00005f50,d.>.P_..,
60000098:,003e901c,00006ee8,..>..n..,
60000098:,003e7908,00007ac4,.y>..z..,
60000098:,003e5da4,000081d0,.]>.....,
60000098:,003e5258,00007a28,XR>.(z..,
60000098:,003e40b8,000076f4,.@>..v..,
60000098:,003e2d10,00007580,.->..u..,
60000098:,003e1874,000077d4,t.>..w..,
60000098:,003df728,000082bc,(.=.....,
60000098:,003dd964,0000885c,d.=.\...,
60000098:,003dcd6c,000085c8,l.=.....,
60000098:,003db3b4,0000890c,..=.....,
60000098:,003d9c28,000088f8,(.=.....,
60000098:,003d8d8c,00008bb8,..=.....,
60000098:,003d8690,00008fd8,..=.....,
60000098:,003d798c,00009018,.y=.....,
60000098:,003d65f4,0000933c,.e=.<...,
60000098:,003d4d78,00009e40,xM=.@...,
60000098:,003d322c,0000a3f8,",2=.....",
60000098:,003d1058,0000ab68,X.=.h...,
60000098:,003d04ac,0000acd4,..=.....,
60000098:,003cf534,0000b0b8,4.<.....,
60000098:,003ce0e4,0000ace0,..<.....,
60000098:,003cc0f8,0000b858,..<.X...,
60000098:,003ca8a0,0000bbcc,..<.....,
60000098:,003c9d58,0000bdec,X.<.....,
60000098:,003c9140,0000be38,@.<.8...,
60000098:,003c8a28,0000c138,(.<.8...,
60000098:,003c6d18,0000c65c,.m<.\...,
60000098:,003c591c,0000d110,.Y<.....,
60000098:,003c41c8,0000d5fc,.A<.....,
60000098:,003c2090,0000db00,.,<.....
60000098:,003c002c,0000e664,",.<.d...",
60000098:,003bec78,0000e684,x.;.....,
60000098:,003be140,0000e920,@.;.,...
60000098:,003bdeb0,0000e36c,..;.l...,
60000098:,003bd5e4,0000dc74,..;.t...,
60000098:,003bc494,0000dc14,..;.....,
60000098:,003bb5ac,0000d6c4,..;.....,
60000098:,003ba6b4,0000d2dc,..;.....,
60000098:,003b9ca8,0000d3bc,..;.....,
60000098:,003b9344,0000c9dc,D.;.....,
60000098:,003b8cc8,0000c604,..;.....,
60000098:,003b7c98,0000bf20,.|;.,...
60000098:,003b6854,0000ba24,Th;.$...,
60000098:,003b56c0,0000b310,.V;.....,
60000098:,003b36ec,0000ae98,.6;.....,
60000098:,003b142c,0000ac58,",.;.X...",
60000098:,003b0288,0000a910,..;.....,
60000098:,003ad3b0,0000a5c0,..:.....,
60000098:,003a9ea0,0000a5b8,..:.....,
60000098:,003a6e28,0000b34c,(n:.L...,
60000098:,003a44fc,0000bcbc,.D:.....,
60000098:,003a281c,0000bf3c,.(:.<...,
60000098:,003a0c00,0000c2d4,..:.....,
60000098:,0039f838,0000c460,8.9.`...,
60000098:,0039dcf4,0000c848,..9.H...,
60000098:,0039c790,0000ccb0,..9.....,
60000098:,0039aee8,0000d02c,"..9.,...",
60000098:,0039a244,0000cdbc,D.9.....,
60000098:,00399104,0000cc08,..9.....,
60000098:,00397f60,0000c83c,`.9.<...,
60000098:,0039758c,0000c870,.u9.p...,
60000098:,00396334,0000cb28,4c9.(...,
60000098:,0039553c,0000d1e8,<U9.....,
60000098:,00393d18,0000d920,.=9.,...
60000098:,00391ed8,0000e3f8,..9.....,
60000098:,0038f1f4,0000e840,..8.@...,
60000098:,0038c9ac,0000f6a8,..8.....,
60000098:,00389b78,0000f638,x.8.8...,
60000098:,003867cc,00010168,.g8.h...,
60000098:,00383620,00011164,68.d...,
60000098:,00381044,00011e10,D.8.....,
60000098:,0037eb1c,0001347c,..7.|4..,
60000098:,0037c944,00013ee4,D.7..>..,
60000098:,0037a7cc,00014904,..7..I..,
60000098:,00378bcc,00015344,..7.DS..,
60000098:,00377af4,00015b1c,.z7..[..,
60000098:,003770d0,00016038,.p7.8`..,
60000098:,00375ec0,00015fe0,.^7.._..,
60000098:,00374cec,00015998,.L7..Y..,
60000098:,0037431c,000154f8,.C7..T..,
60000098:,00372dac,00014fa4,.-7..O..,
60000098:,00371aa8,000150e4,..7..P..,
60000098:,00370c84,0001508c,..7..P..,
60000098:,0036f688,00015318,..6..S..,
60000098:,0036e57c,0001568c,|.6..V..,
60000098:,0036d998,00015a90,..6..Z..,
60000098:,0036c084,000150fc,..6..P..,
60000098:,0036afa4,00014c54,..6.TL..,
60000098:,00369f94,00015230,..6.0R..,
60000098:,00369040,00015794,@.6..W..,
60000098:,00367ed8,00015c24,.~6.$\..,
60000098:,00366ff8,00015c1c,.o6..\..,
60000098:,003656e8,00016080,.V6..`..,
60000098:,00363b48,0001615c,H;6.\a..,
60000098:,0036196c,00016978,l.6.xi..,
60000098:,00360788,00016d44,..6.Dm..,
60000098:,0035e7c0,000178f0,..5..x..,
60000098:,0035d1d0,00017c50,..5.P|..,
60000098:,0035aacc,00018514,..5.....,
60000098:,00357e4c,000190d0,L~5.....,
60000098:,00355710,0001999c,.W5.....,
60000098:,00353758,0001a6ec,X75.....,
60000098:,003517a4,0001a770,..5.p...,
60000098:,00350c30,0001a7f8,0.5.....,
60000098:,0034f92c,0001adec,",.4.....",
60000098:,0034e7c4,0001b3ec,..4.....,
60000098:,0034da18,0001b61c,..4.....,
60000098:,0034c460,0001b2d8,`.4.....,
60000098:,0034ac58,0001b800,X.4.....,
60000098:,0034972c,0001bb74,",.4.t...",
60000098:,0034860c,0001cb2c,"..4.,...",
60000098:,003478b0,0001d3e4,.x4.....,
60000098:,00346208,0001d39c,.b4.....,
60000098:,0034501c,0001d830,.P4.0...,
60000098:,00343704,0001d3b8,.74.....,
60000098:,00342268,0001d984,"h""4.....",
60000098:,003410e4,0001df00,..4.....,
60000098:,0033fe50,0001da14,P.3.....,
60000098:,0033efb8,0001d900,..3.....,
60000098:,0033e308,0001e138,..3.8...,
60000098:,0033e1b0,0001e0f4,..3.....,
60000098:,0033d21c,0001d848,..3.H...,
60000098:,0033c1b0,0001d51c,..3.....,
60000098:,0033b22c,0001d428,",.3.(...",
60000098:,0033aad4,0001d3bc,..3.....,
60000098:,00339adc,0001d21c,..3.....,
60000098:,00338be8,0001d638,..3.8...,
60000098:,00337d60,0001d24c,`}3.L...,
60000098:,00336d18,0001cf5c,.m3.\...,
60000098:,00335918,0001cc60,.Y3.`...,
60000098:,00334770,0001cf64,pG3.d...,
60000098:,003338c0,0001ce68,.83.h...,
60000098:,00332fac,0001cc74,./3.t...,
60000098:,003324c0,0001c878,.$3.x...,
60000098:,003314a8,0001c394,..3.....,
60000098:,00330104,0001c2b0,..3.....,
60000098:,0032f2f4,0001bf0c,..2.....,
60000098:,0032e1bc,0001bd78,..2.x...,
60000098:,0032d074,0001b970,t.2.p...,
60000098:,0032c690,0001b764,..2.d...,
60000098:,0032b9b8,0001b93c,..2.<...,
60000098:,0032a268,0001b790,h.2.....,
60000098:,00328b54,0001b4d0,T.2.....,
60000098:,003278c8,0001b0e0,.x2.....,
60000098:,00326298,0001b6b4,.b2.....,
60000098:,00325004,0001b2a4,.P2.....,
60000098:,0032400c,0001b7ac,.@2.....,
60000098:,00322ae0,0001b88c,.*2.....,
60000098:,00322134,0001b614,4!2.....,
60000098:,003214e8,0001b388,..2.....,
60000098:,0032040c,0001b358,..2.X...,
60000098:,0031f8a0,0001b2ec,..1.....,
60000098:,0031e8a8,0001ae94,..1.....,
60000098:,0031d408,0001a990,..1.....,
60000098:,0031c944,0001af7c,D.1.|...,
60000098:,0031b4e8,0001afd4,..1.....,
60000098:,0031a6d8,0001b18c,..1.....,
60000098:,00319c3c,0001ac78,<.1.x...,
60000098:,00319074,0001a42c,"t.1.,...",
60000098:,00317d78,0001a5ec,x}1.....,
60000098:,003168e4,0001a478,.h1.x...,
60000098:,00315910,0001a88c,.Y1.....,
60000098:,00314f24,0001a42c,"$O1.,...",
60000098:,003147b0,0001a0c8,.G1.....,
60000098:,003140c0,00019764,.@1.d...,
60000098:,00312ab0,00019bd4,.*1.....,
60000098:,0031160c,00019df8,..1.....,
60000098:,0030ff5c,000197d0,\.0.....,
60000098:,0030e794,0001a060,..0.`...,
60000098:,0030d2e8,0001a404,..0.....,
60000098:,0030b050,0001a414,P.0.....,
60000098:,00309798,00019e54,..0.T...,
60000098:,00308238,0001a5e8,8.0.....,
60000098:,003071d8,0001aac0,.q0.....,
60000098:,00306350,0001ad38,Pc0.8...,
60000098:,00305100,0001ab6c,.Q0.l...,
60000098:,00303d80,0001a79c,.=0.....,
60000098:,00302744,0001a8d0,D'0.....,
60000098:,00300e84,0001a948,..0.H...,
60000098:,002ffd0c,0001ab58,../.X...,
60000098:,002feb00,0001a5dc,../.....,
60000098:,002fd428,0001a73c,(./.<...,
60000098:,002fc584,0001a9b8,../.....,
60000098:,002fbc04,0001ad34,../.4...,
60000098:,002fa2e0,0001af44,../.D...,
60000098:,002f8d0c,0001b198,../.....,
60000098:,002f7e9c,0001b5dc,.~/.....,
60000098:,002f6d14,0001b91c,.m/.....,
60000098:,002f5ab4,0001bd04,.Z/.....,
60000098:,002f47ec,0001c780,.G/.....,
60000098:,002f3380,0001c390,.3/.....,
60000098:,002f230c,0001c228,.,
60000098:,002f06b8,0001c22c,"../.,...",
60000098:,002eeae0,0001c530,....0...,
60000098:,002ed16c,0001c78c,l.......,
60000098:,002ec0b8,0001c9a0,........,
60000098:,002eaf60,0001c9fc,`.......,
60000098:,002ea20c,0001cda4,........,
60000098:,002e9034,0001cd64,4...d...,
60000098:,002e84c8,0001d098,........,
60000098:,002e7744,0001d024,Dw..$...,
60000098:,002e627c,0001cfb8,|b......,
60000098:,002e5564,0001d4d4,dU......,
60000098:,002e4cc0,0001cd14,.L......,
60000098:,002e457c,0001c8e8,|E......,
60000098:,002e3f78,0001c798,x?......,
60000098:,002e34c8,0001c144,.4..D...,
60000098:,002e2d24,0001c4c8,$-......,
60000098:,002e22cc,0001c03c,".""..<...",
60000098:,002e1ce4,0001b914,........,
60000098:,002e1630,0001b244,0...D...,
60000098:,002e0dd0,0001a878,....x...,
60000098:,002e0688,0001a8d0,........,
60000098:,002dfe88,0001a628,..-.(...,
60000098:,002df8c8,0001a5c8,..-.....,
60000098:,002df358,0001a674,X.-.t...,
60000098:,002def54,0001a134,T.-.4...,
60000098:,002de4bc,00019e94,..-.....,
60000098:,002ddc38,00019810,8.-.....,
60000098:,002dd064,00019770,d.-.p...,
60000098:,002dc6a8,00019544,..-.D...,
60000098:,002dc034,00018f40,4.-.@...,
60000098:,002dbaf4,000183d0,..-.....,
60000098:,002db5c8,0001799c,..-..y..,
60000098:,002da1f4,000175e0,..-..u..,
60000098:,002d96e4,000171a0,..-..q..,
60000098:,002d8c40,00016e40,@.-.@n..,
60000098:,002d7acc,00016a50,.z-.Pj..,
60000098:,002d7544,0001658c,Du-..e..,
60000098:,002d6c1c,00016250,.l-.Pb..,
60000098:,002d6098,00016364,.`-.dc..,
60000098:,002d533c,00015e6c,<S-.l^..,
60000098:,002d48ac,00015588,.H-..U..,
60000098:,002d3de4,0001518c,.=-..Q..,
60000098:,002d3420,00014c64,4-.dL..,
60000098:,002d2acc,00014bb4,.*-..K..,
60000098:,002d2478,00014618,x$-..F..,
60000098:,002d15dc,00014194,..-..A..,
60000098:,002d020c,000140dc,..-..@..,
60000098:,002cf744,00013eb8,"D.,..>..",
60000098:,002cef58,000142a0,"X.,..B..",
60000098:,002cde70,00013a40,"p.,.@:..",
60000098:,002cce94,000137c4,"..,..7..",
60000098:,002cc058,00012d60,"X.,.`-..",
60000098:,002cb704,00012450,"..,.P$..",
60000098:,002ca438,00012148,"8.,.H!..",
60000098:,002c9350,00011b08,"P.,.....",
60000098:,002c8280,00011af0,"..,.....",
60000098:,002c7394,00011750,".s,.P...",
60000098:,002c662c,00011a98,",f,.....",
60000098:,002c5614,00011adc,".V,.....",
60000098:,002c4b6c,00011cc4,"lK,.....",
60000098:,002c36e8,00011d14,".6,.....",
60000098:,002c26dc,00011d78,".&,.x...",
60000098:,002c1a58,0001232c,"X.,.,",
60000098:,002c0ac4,00011c88,"..,.....",
60000098:,002bfcf4,00011294,..+.....,
60000098:,002bef94,000117bc,..+.....,
60000098:,002bdcf4,00011778,..+.x...,
60000098:,002bd304,000113dc,..+.....,
60000098:,002bc69c,00011af4,..+.....,
60000098:,002bba80,000119c8,..+.....,
60000098:,002ba9d4,000113b0,..+.....,
60000098:,002b990c,00010504,..+.....,
60000098:,002b85ac,00010218,..+.....,
60000098:,002b73d8,0000ffa8,.s+.....,
60000098:,002b60d0,000102bc,.`+.....,
60000098:,002b524c,00010a24,LR+.$...,
60000098:,002b4428,0001098c,(D+.....,
60000098:,002b332c,000104b0,",3+.....",
60000098:,002b233c,000100f8,<,
60000098:,002b1dc0,0000ffc8,..+.....,
60000098:,002b11e8,0000f590,..+.....,
60000098:,002b01f0,0000efdc,..+.....,
60000098:,002aeffc,0000f5d0,..*.....,
60000098:,002ae10c,0000f280,..*.....,
60000098:,002add7c,0000f5bc,|.*.....,
60000098:,002ad2a0,0000f428,..*.(...,
60000098:,002ab814,0000f568,..*.h...,
60000098:,002aa41c,0000f164,..*.d...,
60000098:,002a9520,0000f214,.*.....,
60000098:,002a8964,0000f1b8,d.*.....,
60000098:,002a7998,0000f61c,.y*.....,
60000098:,002a6430,0000fd58,0d*.X...,
60000098:,002a55b8,0000fe08,.U*.....,
60000098:,002a42c0,0000faf8,.B*.....,
60000098:,002a2a8c,0000fcbc,.**.....,
60000098:,002a16d0,0000f6d4,..*.....,
60000098:,002a04b0,0000f1bc,..*.....,
60000098:,0029f9f4,0000f118,..).....,
60000098:,0029e8f0,0000f01c,..).....,
60000098:,0029d92c,0000f708,",.).....",
60000098:,0029ceb8,0000f488,..).....,
60000098:,0029c1f0,0000f410,..).....,
60000098:,0029b60c,0000f3c8,..).....,
60000098:,0029a994,0000f218,..).....,
60000098:,00299894,0000e924,..).$...,
60000098:,00298c30,0000e520,0.).,...
60000098:,0029822c,0000e1a0,",.).....",
60000098:,00296fd0,0000e564,.o).d...,
60000098:,00296624,0000ddd4,$f).....,
60000098:,00295998,0000dff0,.Y).....,
60000098:,00294b48,0000de04,HK).....,
60000098:,00293978,0000d904,x9).....,
60000098:,002927f8,0000d800,.').....,
60000098:,00292024,0000d6c0,$,).....
60000098:,00291654,0000cea4,T.).....,
60000098:,00290f00,0000c8cc,..).....,
60000098:,0028ffe4,0000c6ac,..(.....,
60000098:,0028f144,0000bdc0,D.(.....,
60000098:,0028e3c0,0000b8ac,..(.....,
60000098:,0028ded8,0000b4d8,..(.....,
60000098:,0028ce5c,0000bad4,\.(.....,
60000098:,0028bff0,0000b92c,"..(.,...",
60000098:,0028b398,0000ba80,..(.....,
60000098:,0028ae3c,0000b284,<.(.....,
60000098:,00289f20,0000ad70,.(.p...,
60000098:,002897cc,0000a49c,..(.....,
60000098:,00288b84,0000a348,..(.H...,
60000098:,00287d10,0000aa94,.}(.....,
60000098:,00287398,0000a460,.s(.`...,
60000098:,0028644c,0000a088,Ld(.....,
60000098:,00285b98,00009f78,.[(.x...,
60000098:,00284738,00009eec,8G(.....,
60000098:,00284218,00009c7c,.B(.|...,
60000098:,0028348c,000098f8,.4(.....,
60000098:,00282550,000095b0,P%(.....,
60000098:,00281284,00009078,..(.x...,
60000098:,00280bfc,00009274,..(.t...,
60000098:,00280058,00009224,X.(.$...,
60000098:,0027f344,00009180,D.'.....,
60000098:,0027e4cc,00008c7c,..'.|...,
60000098:,0027d748,00008800,H.'.....,
60000098:,0027cc1c,000087dc,..'.....,
60000098:,0027c69c,00008a20,..'.,...
60000098:,0027bce4,00008bb8,..'.....,
60000098:,0027ae64,00008af8,d.'.....,
60000098:,00279e98,00008f1c,..'.....,
60000098:,002797d0,00008c94,..'.....,
60000098:,00279168,000093b4,h.'.....,
60000098:,00277f2c,000093a8,",.'.....",
60000098:,002778dc,0000931c,.x'.....,
60000098:,00276924,000091a8,$i'.....,
60000098:,00276020,00008ab4,`'.....,
60000098:,002750b4,00008f84,.P'.....,
60000098:,002741bc,00008e40,.A'.@...,
60000098:,00273448,00009624,H4'.$...,
60000098:,002729e4,00008c00,.)'.....,
60000098:,0027149c,00008794,..'.....,
60000098:,00270908,000081ec,..'.....,
60000098:,0026fc60,00007e20,`.&.,~..
60000098:,0026ea34,00007bd0,4.&..{..,
60000098:,0026e160,0000805c,`.&.\...,
60000098:,0026cbdc,000084b0,..&.....,
60000098:,0026bcf8,000088d0,..&.....,
60000098:,0026ae9c,00008e4c,..&.L...,
60000098:,0026a0f4,00008fe0,..&.....,
60000098:,00268bbc,00008f04,..&.....,
60000098:,002681a8,000095e0,..&.....,
60000098:,00267250,00009218,Pr&.....,
60000098:,00265d40,000095e0,@]&.....,
60000098:,00264f70,000097fc,pO&.....,
60000098:,002636ec,00009f80,.6&.....,
60000098:,00262590,00009f80,.%&.....,
60000098:,00261320,00009aa4,.&.....,
60000098:,002602dc,00009ccc,..&.....,
60000098:,0025e9a8,00009f40,..%.@...,
60000098:,0025d4f4,0000a55c,..%.\...,
60000098:,0025bcd4,0000a4f0,..%.....,
60000098:,0025a514,00009d94,..%.....,
60000098:,00259124,00009a68,$.%.h...,
60000098:,00258578,000096bc,x.%.....,
60000098:,002575d0,00009a78,.u%.x...,
60000098:,002564c4,0000a09c,.d%.....,
60000098:,002555f4,0000a424,.U%.$...,
60000098:,002543f4,00009be4,.C%.....,
60000098:,002536c4,0000a004,.6%.....,
60000098:,00252ae0,00009c30,.*%.0...,
60000098:,00251900,00009d28,..%.(...,
60000098:,00250698,0000a440,..%.@...,
60000098:,0024f1f8,0000a514,..$.....,
60000098:,0024e34c,0000a2ac,L.$.....,
60000098:,0024de3c,0000a2d0,<.$.....,
60000098:,0024cb64,00009f94,d.$.....,
60000098:,0024c68c,0000a350,..$.P...,
60000098:,0024b4f8,0000a2a0,..$.....,
60000098:,0024ac90,0000a584,..$.....,
60000098:,002496e0,0000a42c,"..$.,...",
60000098:,002488b0,0000a4bc,..$.....,
60000098:,00247f0c,0000ab60,..$.`...,
60000098:,002473f8,0000afd0,.s$.....,
60000098:,00246214,0000b00c,.b$.....,
60000098:,00245208,0000a824,.R$.$...,
60000098:,00244164,0000a65c,dA$.\...,
60000098:,00243d10,0000a4cc,.=$.....,
60000098:,00242c0c,0000a12c,".,$.,...",
60000098:,00242080,00009ad0,.,$.....
60000098:,00241b40,00009b58,@.$.X...,
60000098:,00240a08,00009c50,..$.P...,
60000098:,00240290,0000a078,..$.x...,
60000098:,0023fa60,00009f74,`.,
60000098:,0023f234,00009e68,4.,
