addr,x,y,null,null.1
60000098:,002305a0,00178a40,..,
60000098:,002305a0,00178a40,..,
60000098:,0023059c,00178a34,..,
60000098:,0023059c,00178a34,..,
60000098:,00230590,00178a34,..,
60000098:,00230590,00178a34,..,
60000098:,0023058c,00178a30,..,
60000098:,00230588,00178a28,..,
60000098:,00230584,00178a1c,..,
60000098:,00230580,00178a18,..,
60000098:,0023057c,00178a18,|.,
60000098:,00230578,00178a10,x.,
60000098:,00230570,00178a0c,p.,
60000098:,00230568,00178a08,h.,
60000098:,00230568,00178a08,h.,
60000098:,0023055c,00178a00,\.,
60000098:,00230558,001789f8,X.,
60000098:,00230550,001789f4,P.,
60000098:,00230548,001789f0,H.,
60000098:,0023053c,001789f0,<.,
60000098:,00230538,001789ec,8.,
60000098:,00230530,001789e4,0.,
60000098:,00230528,001789dc,(.,
60000098:,00230520,001789d4,.,
60000098:,00230518,001789d0,..,
60000098:,00230510,001789d0,..,
60000098:,0023050c,001789d0,..,
60000098:,00230508,001789cc,..,
60000098:,00230500,001789c4,..,
60000098:,002304fc,001789c0,..,
60000098:,002304fc,001789bc,..,
60000098:,002304f8,001789b8,..,
60000098:,002304f4,001789b8,..,
60000098:,002304f0,001789b0,..,
60000098:,002304ec,001789ac,..,
60000098:,002304e4,001789a8,..,
60000098:,002304e4,001789a8,..,
60000098:,002304e0,001789a4,..,
60000098:,002304dc,001789a4,..,
60000098:,002304d0,001789a0,..,
60000098:,002304c8,0017899c,..,
60000098:,002304c0,00178998,..,
60000098:,002304bc,00178998,..,
60000098:,002304b4,00178990,..,
60000098:,002304b0,00178990,..,
60000098:,002304a8,0017898c,..,
60000098:,002304a4,00178984,..,
60000098:,00230498,00178978,..,
60000098:,00230494,00178974,..,
60000098:,0023048c,00178974,..,
60000098:,0023048c,00178970,..,
60000098:,00230484,0017896c,..,
60000098:,00230484,00178968,..,
60000098:,0023047c,00178964,|.,
60000098:,00230474,0017895c,t.,
60000098:,00230470,00178950,p.,
60000098:,00230468,0017894c,h.,
60000098:,00230464,00178944,d.,
60000098:,00230464,00178938,d.,
60000098:,0023045c,00178934,\.,
60000098:,00230458,00178930,X.,
60000098:,00230458,00178930,X.,
60000098:,0023044c,00178924,L.,
60000098:,0023044c,00178924,L.,
60000098:,00230448,0017891c,H.,
60000098:,00230448,0017891c,H.,
60000098:,00230448,0017891c,H.,
60000098:,00230448,0017891c,H.,
60000098:,00230444,0017891c,D.,
60000098:,00230440,0017891c,@.,
60000098:,0023043c,0017891c,<.,
60000098:,00230434,00178918,4.,
60000098:,00230430,00178914,0.,
60000098:,00230430,00178914,0.,
60000098:,0023042c,00178910,",.",
60000098:,00230428,0017890c,(.,
60000098:,00230420,00178908,.,
60000098:,00230418,00178900,..,
60000098:,00230414,001788f4,..,
60000098:,00230410,001788ec,..,
60000098:,00230408,001788e4,..,
60000098:,00230400,001788e4,..,
60000098:,002303fc,001788e0,..,
60000098:,002303fc,001788d4,..,
60000098:,002303f8,001788cc,..,
60000098:,002303f0,001788c8,..,
60000098:,002303ec,001788c4,..,
60000098:,002303e4,001788c0,..,
60000098:,002303e0,001788bc,..,
