addr,x,y,null,null.1
60000098:,0022bf34,0017439c,"4.""..C..",
60000098:,0022bf34,0017439c,"4.""..C..",
60000098:,0022bf30,00174398,"0.""..C..",
60000098:,0022bf30,00174398,"0.""..C..",
60000098:,0022bf28,00174394,"(.""..C..",
60000098:,0022bf28,00174394,"(.""..C..",
60000098:,0022bf28,0017438c,"(.""..C..",
60000098:,0022bf20,00174388,".""..C..",
60000098:,0022bf1c,00174384,"..""..C..",
60000098:,0022bf18,00174380,"..""..C..",
60000098:,0022bf10,00174378,".."".xC..",
60000098:,0022bf0c,00174374,".."".tC..",
60000098:,0022bf08,00174368,".."".hC..",
60000098:,0022bf00,00174364,".."".dC..",
60000098:,0022befc,00174360,".."".`C..",
60000098:,0022bef8,0017435c,".."".\C..",
60000098:,0022beec,0017435c,".."".\C..",
60000098:,0022bee8,00174354,".."".TC..",
60000098:,0022bee4,00174354,".."".TC..",
60000098:,0022bedc,00174348,".."".HC..",
60000098:,0022bed4,00174344,".."".DC..",
60000098:,0022becc,00174338,".."".8C..",
60000098:,0022bec4,00174334,".."".4C..",
60000098:,0022bec0,00174330,".."".0C..",
60000098:,0022bec0,00174328,".."".(C..",
60000098:,0022beb8,00174324,".."".$C..",
60000098:,0022beb0,0017431c,"..""..C..",
60000098:,0022bea8,00174318,"..""..C..",
60000098:,0022bea8,00174314,"..""..C..",
60000098:,0022bea8,0017430c,"..""..C..",
60000098:,0022bea4,0017430c,"..""..C..",
60000098:,0022bea0,00174308,"..""..C..",
60000098:,0022bea0,00174308,"..""..C..",
60000098:,0022be9c,00174300,"..""..C..",
60000098:,0022be9c,00174300,"..""..C..",
60000098:,0022be98,001742fc,"..""..B..",
60000098:,0022be98,001742fc,"..""..B..",
60000098:,0022be94,001742f8,"..""..B..",
60000098:,0022be90,001742f0,"..""..B..",
60000098:,0022be88,001742e8,"..""..B..",
60000098:,0022be84,001742e4,"..""..B..",
60000098:,0022be78,001742e4,"x.""..B..",
60000098:,0022be70,001742e0,"p.""..B..",
60000098:,0022be68,001742dc,"h.""..B..",
60000098:,0022be60,001742d8,"`.""..B..",
60000098:,0022be5c,001742d4,"\.""..B..",
60000098:,0022be58,001742d0,"X.""..B..",
60000098:,0022be54,001742c8,"T.""..B..",
60000098:,0022be50,001742c8,"P.""..B..",
60000098:,0022be48,001742c8,"H.""..B..",
60000098:,0022be40,001742c4,"@.""..B..",
60000098:,0022be38,001742bc,"8.""..B..",
60000098:,0022be34,001742b8,"4.""..B..",
60000098:,0022be30,001742b4,"0.""..B..",
60000098:,0022be28,001742b0,"(.""..B..",
60000098:,0022be20,001742a4,".""..B..",
60000098:,0022be18,001742a0,"..""..B..",
60000098:,0022be14,00174298,"..""..B..",
60000098:,0022be0c,00174290,"..""..B..",
60000098:,0022be0c,00174288,"..""..B..",
60000098:,0022be0c,00174284,"..""..B..",
60000098:,0022be08,00174280,"..""..B..",
60000098:,0022be04,00174278,".."".xB..",
60000098:,0022be00,00174274,".."".tB..",
60000098:,0022bdfc,00174270,".."".pB..",
60000098:,0022bdf8,00174270,".."".pB..",
60000098:,0022bdf8,00174270,".."".pB..",
60000098:,0022bdf4,0017426c,".."".lB..",
60000098:,0022bdf4,0017426c,".."".lB..",
60000098:,0022bdec,00174268,".."".hB..",
60000098:,0022bde0,00174260,".."".`B..",
60000098:,0022bddc,00174258,".."".XB..",
60000098:,0022bdd4,00174254,".."".TB..",
60000098:,0022bdd0,0017424c,".."".LB..",
60000098:,0022bdcc,0017424c,".."".LB..",
60000098:,0022bdc8,00174244,".."".DB..",
60000098:,0022bdc0,00174240,".."".@B..",
60000098:,0022bdbc,00174238,".."".8B..",
60000098:,0022bdb4,00174230,".."".0B..",
60000098:,0022bdac,0017422c,".."".,B..",
60000098:,0022bdac,00174228,".."".(B..",
60000098:,0022bda4,00174224,".."".$B..",
60000098:,0022bda0,00174218,"..""..B..",
60000098:,0022bd9c,00174214,"..""..B..",
60000098:,0022bd9c,0017420c,"..""..B..",
60000098:,0022bd98,00174204,"..""..B..",
60000098:,0022bd90,00174200,"..""..B..",
60000098:,0022bd90,001741fc,"..""..A..",
60000098:,0022bd90,001741f4,"..""..A..",
60000098:,0022bd88,001741f0,"..""..A..",
60000098:,0022bd84,001741e8,"..""..A..",
60000098:,0022bd7c,001741e8,"|.""..A..",
60000098:,0022bd7c,001741e8,"|.""..A..",
60000098:,0022bd78,001741e8,"x.""..A..",
60000098:,0022bd78,001741e8,"x.""..A..",
60000098:,0022bd70,001741e0,"p.""..A..",
60000098:,0022bd70,001741e0,"p.""..A..",
60000098:,0022bd6c,001741d8,"l.""..A..",
60000098:,0022bd6c,001741d4,"l.""..A..",
60000098:,0022bd68,001741d4,"h.""..A..",
60000098:,0022bd60,001741cc,"`.""..A..",
60000098:,0022bd5c,001741c4,"\.""..A..",
60000098:,0022bd50,001741c4,"P.""..A..",
60000098:,0022bd4c,001741c4,"L.""..A..",
