addr,x,y,null,null.1
60000040:,001d46d8,.F..,,
60000040:,001d4c5c,\L..,,
60000040:,001d4264,dB..,,
60000040:,001d45f8,.E..,,
60000040:,001d4df0,.M..,,
60000040:,001d4e4c,LN..,,
60000040:,001d4b2c,",K..",,
60000040:,001d50c0,.P..,,
60000040:,001d5ce8,.\..,,
60000040:,001d4c24,$L..,,
60000040:,001d3f44,D?..,,
60000040:,001d4e14,.N..,,
60000040:,001d545c,\T..,,
60000040:,001d4a38,8J..,,
60000040:,001d4bc0,.K..,,
60000040:,001d4bc4,.K..,,
60000040:,001d4c18,.L..,,
60000040:,001d4c28,(L..,,
60000040:,001d4eec,.N..,,
60000040:,001d53d8,.S..,,
60000040:,001d4e18,.N..,,
60000040:,001d49a4,.I..,,
60000040:,001d4f18,.O..,,
60000040:,001d4b7c,|K..,,
60000040:,001d4c28,(L..,,
60000040:,001d4bdc,.K..,,
60000040:,001d4670,pF..,,
60000040:,001d4e88,.N..,,
60000040:,001d4f44,DO..,,
60000040:,001d4dc8,.M..,,
60000040:,001d4668,hF..,,
60000040:,001d4724,$G..,,
60000040:,001d482c,",H..",,
60000040:,001d5054,TP..,,
60000040:,001d4f60,`O..,,
60000040:,001d499c,.I..,,
60000040:,001d49cc,.I..,,
60000040:,001d531c,.S..,,
60000040:,001d56b4,.V..,,
60000040:,001d507c,|P..,,
60000040:,001d4dec,.M..,,
60000040:,001d4d48,HM..,,
60000040:,001d4b38,8K..,,
60000040:,001d4f04,.O..,,
60000040:,001d48fc,.H..,,
60000040:,001d512c,",Q..",,
60000040:,001d4954,TI..,,
60000040:,001d4fd4,.O..,,
60000040:,001d593c,<Y..,,
60000040:,001d5534,4U..,,
60000040:,001d486c,lH..,,
60000040:,001d5038,8P..,,
60000040:,001d5188,.Q..,,
60000040:,001d515c,\Q..,,
60000040:,001d52f0,.R..,,
60000040:,001d5784,.W..,,
60000040:,001d5344,DS..,,
60000040:,001d4748,HG..,,
60000040:,001d4f14,.O..,,
60000040:,001d50bc,.P..,,
60000040:,001d4dac,.M..,,
60000040:,001d4b0c,.K..,,
60000040:,001d5150,PQ..,,
60000040:,001d5010,.P..,,
60000040:,001d4cd8,.L..,,
60000040:,001d4d08,.M..,,
60000040:,001d4554,TE..,,
60000040:,001d543c,<T..,,
60000040:,001d4720,G..,,
60000040:,001d4bec,.K..,,
60000040:,001d4bec,.K..,,
60000040:,001d51f8,.Q..,,
60000040:,001d4ac8,.J..,,
60000040:,001d5254,TR..,,
60000040:,001d510c,.Q..,,
60000040:,001d4f94,.O..,,
60000040:,001d52a4,.R..,,
60000040:,001d54a4,.T..,,
60000040:,001d4b08,.K..,,
60000040:,001d51b4,.Q..,,
60000040:,001d4d60,`M..,,
60000040:,001d4ce0,.L..,,
60000040:,001d51a8,.Q..,,
60000040:,001d4ca0,.L..,,
60000040:,001d4a50,PJ..,,
60000040:,001d517c,|Q..,,
60000040:,001d533c,<S..,,
60000040:,001d52d8,.R..,,
60000040:,001d50dc,.P..,,
60000040:,001d4f34,4O..,,
60000040:,001d51cc,.Q..,,
60000040:,001d49d4,.I..,,
60000040:,001d511c,.Q..,,
60000040:,001d5174,tQ..,,
60000040:,001d4fd0,.O..,,
60000040:,001d4ef8,.N..,,
60000040:,001d4ed8,.N..,,
60000040:,001d4c04,.L..,,
60000040:,001d51f8,.Q..,,
60000040:,001d50b4,.P..,,
60000040:,001d4f58,XO..,,
60000040:,001d48dc,.H..,,
60000040:,001d4dc4,.M..,,
60000040:,001d5040,@P..,,
60000040:,001d510c,.Q..,,
60000040:,001d507c,|P..,,
60000040:,001d52a0,.R..,,
60000040:,001d4cd0,.L..,,
60000040:,001d521c,.R..,,
60000040:,001d4f2c,",O..",,
60000040:,001d4d64,dM..,,
60000040:,001d4e34,4N..,,
60000040:,001d51b4,.Q..,,
60000040:,001d5000,.P..,,
60000040:,001d4d3c,<M..,,
60000040:,001d4e00,.N..,,
60000040:,001d4c6c,lL..,,
60000040:,001d5378,xS..,,
60000040:,001d5544,DU..,,
60000040:,001d4968,hI..,,
60000040:,001d50b4,.P..,,
60000040:,001d4e3c,<N..,,
60000040:,001d4ea0,.N..,,
60000040:,001d51f4,.Q..,,
60000040:,001d4cc4,.L..,,
60000040:,001d537c,|S..,,
60000040:,001d52fc,.R..,,
60000040:,001d4f04,.O..,,
60000040:,001d4c78,xL..,,
60000040:,001d4e88,.N..,,
60000040:,001d5920,Y..,,
