addr,x,y,null,null.1
60000098:,0022ad9c,001731ec,"..""..1..",
60000098:,0022ad9c,001731ec,"..""..1..",
60000098:,0022ad98,001731e0,"..""..1..",
60000098:,0022ad98,001731e0,"..""..1..",
60000098:,0022ad94,001731e0,"..""..1..",
60000098:,0022ad90,001731dc,"..""..1..",
60000098:,0022ad88,001731d4,"..""..1..",
60000098:,0022ad84,001731d4,"..""..1..",
60000098:,0022ad80,001731cc,"..""..1..",
60000098:,0022ad78,001731c8,"x.""..1..",
60000098:,0022ad70,001731c4,"p.""..1..",
60000098:,0022ad68,001731bc,"h.""..1..",
60000098:,0022ad60,001731b4,"`.""..1..",
60000098:,0022ad58,001731b0,"X.""..1..",
60000098:,0022ad50,001731ac,"P.""..1..",
60000098:,0022ad48,001731ac,"H.""..1..",
60000098:,0022ad48,001731a4,"H.""..1..",
60000098:,0022ad44,0017319c,"D.""..1..",
60000098:,0022ad3c,00173190,"<.""..1..",
60000098:,0022ad34,00173190,"4.""..1..",
60000098:,0022ad30,0017318c,"0.""..1..",
60000098:,0022ad28,00173188,"(.""..1..",
60000098:,0022ad24,00173184,"$.""..1..",
60000098:,0022ad1c,00173180,"..""..1..",
60000098:,0022ad1c,00173178,".."".x1..",
60000098:,0022ad14,00173170,".."".p1..",
60000098:,0022ad0c,0017316c,".."".l1..",
60000098:,0022ad08,00173168,".."".h1..",
60000098:,0022ad04,00173164,".."".d1..",
60000098:,0022acfc,00173160,".."".`1..",
60000098:,0022acf8,00173160,".."".`1..",
60000098:,0022acf8,0017315c,".."".\1..",
60000098:,0022acf8,0017315c,".."".\1..",
60000098:,0022acf4,00173158,".."".X1..",
60000098:,0022acf4,00173158,".."".X1..",
60000098:,0022acf0,0017314c,".."".L1..",
60000098:,0022acf0,0017314c,".."".L1..",
60000098:,0022acec,00173140,".."".@1..",
60000098:,0022ace8,00173138,".."".81..",
60000098:,0022ace0,0017312c,".."".,1..",
60000098:,0022acdc,00173128,".."".(1..",
60000098:,0022acd8,00173128,".."".(1..",
60000098:,0022acd4,00173124,".."".$1..",
60000098:,0022acd4,00173120,".."".",1..
60000098:,0022acd4,00173114,"..""..1..",
60000098:,0022acd0,0017310c,"..""..1..",
60000098:,0022acc8,00173104,"..""..1..",
60000098:,0022acc4,001730fc,"..""..0..",
