addr,x,y,null,null.1
60000040:,001d7834,4x..,,
60000040:,001d792c,",y..",,
60000040:,001d7ca8,.|..,,
60000040:,001d7ca8,.|..,,
60000040:,001d8480,....,,
60000040:,001d7f28,(...,,
60000040:,001d83d8,....,,
60000040:,001d7b7c,|{..,,
60000040:,001d795c,\y..,,
60000040:,001d7a88,.z..,,
60000040:,001d7ca0,.|..,,
60000040:,001d7850,Px..,,
60000040:,001d7c98,.|..,,
60000040:,001d7b88,.{..,,
60000040:,001d7c90,.|..,,
60000040:,001d7d6c,l}..,,
60000040:,001d7df0,.}..,,
60000040:,001d750c,.u..,,
60000040:,001d78e8,.x..,,
60000040:,001d7f08,....,,
60000040:,001d7ea4,.~..,,
60000040:,001d7944,Dy..,,
60000040:,001d7f34,4...,,
60000040:,001d7cbc,.|..,,
60000040:,001d7f9c,....,,
60000040:,001d7f7c,|...,,
60000040:,001d7e38,8~..,,
60000040:,001d77f0,.w..,,
60000040:,001d7978,xy..,,
60000040:,001d7b60,`{..,,
60000040:,001d7f58,X...,,
60000040:,001d8188,....,,
60000040:,001d7a3c,<z..,,
60000040:,001d8200,....,,
60000040:,001d7bb8,.{..,,
60000040:,001d7754,Tw..,,
60000040:,001d7f68,h...,,
60000040:,001d8444,D...,,
60000040:,001d7c84,.|..,,
60000040:,001d84fc,....,,
60000040:,001d7da0,.}..,,
60000040:,001d7e5c,\~..,,
60000040:,001d8030,0...,,
60000040:,001d7bd8,.{..,,
60000040:,001d830c,....,,
60000040:,001d7c54,T|..,,
60000040:,001d7ef8,.~..,,
60000040:,001d7fd8,....,,
60000040:,001d7fd8,....,,
60000040:,001d7d78,x}..,,
60000040:,001d79a8,.y..,,
60000040:,001d78a0,.x..,,
60000040:,001d8174,t...,,
60000040:,001d80ec,....,,
60000040:,001d84c8,....,,
60000040:,001d7ed4,.~..,,
60000040:,001d7fe8,....,,
60000040:,001d8010,....,,
60000040:,001d7dc8,.}..,,
60000040:,001d8154,T...,,
60000040:,001d7d80,.}..,,
60000040:,001d7e90,.~..,,
