addr,x,y,null,null.1
60000098:,00228a6c,00170eb0,"l."".....",
60000098:,00228a6c,00170eac,"l."".....",
60000098:,00228a68,00170eac,"h."".....",
60000098:,00228a68,00170ea4,"h."".....",
60000098:,00228a64,00170ea4,"d."".....",
60000098:,00228a5c,00170e9c,"\."".....",
60000098:,00228a58,00170e98,"X."".....",
60000098:,00228a54,00170e90,"T."".....",
60000098:,00228a50,00170e88,"P."".....",
60000098:,00228a4c,00170e84,"L."".....",
60000098:,00228a48,00170e84,"H."".....",
60000098:,00228a44,00170e80,"D."".....",
60000098:,00228a3c,00170e78,"<."".x...",
60000098:,00228a34,00170e78,"4."".x...",
60000098:,00228a30,00170e78,"0."".x...",
60000098:,00228a2c,00170e78,",."".x...",
60000098:,00228a28,00170e74,"(."".t...",
60000098:,00228a28,00170e70,"(."".p...",
60000098:,00228a20,00170e6c,"."".l...",
60000098:,00228a1c,00170e68,".."".h...",
60000098:,00228a14,00170e64,".."".d...",
60000098:,00228a0c,00170e5c,".."".\...",
60000098:,00228a04,00170e58,".."".X...",
60000098:,002289fc,00170e54,".."".T...",
60000098:,002289f4,00170e50,".."".P...",
60000098:,002289f0,00170e50,".."".P...",
60000098:,002289ec,00170e48,".."".H...",
60000098:,002289e8,00170e44,".."".D...",
60000098:,002289e4,00170e3c,".."".<...",
60000098:,002289e4,00170e38,".."".8...",
60000098:,002289e0,00170e34,".."".4...",
60000098:,002289dc,00170e34,".."".4...",
60000098:,002289d8,00170e34,".."".4...",
60000098:,002289d8,00170e30,".."".0...",
60000098:,002289d4,00170e2c,".."".,...",
60000098:,002289d4,00170e28,".."".(...",
60000098:,002289c8,00170e28,".."".(...",
60000098:,002289c4,00170e24,".."".$...",
60000098:,002289bc,00170e20,".."".",...
60000098:,002289b8,00170e18,".."".....",
60000098:,002289b8,00170e0c,".."".....",
60000098:,002289b0,00170e04,".."".....",
60000098:,002289ac,00170df8,".."".....",
60000098:,002289a4,00170df8,".."".....",
60000098:,002289a0,00170df4,".."".....",
60000098:,0022899c,00170df0,".."".....",
60000098:,00228998,00170dec,".."".....",
60000098:,00228994,00170dec,".."".....",
60000098:,00228990,00170de8,".."".....",
60000098:,00228988,00170de8,".."".....",
60000098:,00228984,00170de4,".."".....",
60000098:,0022897c,00170dd8,"|."".....",
60000098:,00228978,00170dd4,"x."".....",
60000098:,00228974,00170dcc,"t."".....",
60000098:,00228968,00170dc0,"h."".....",
60000098:,00228960,00170db8,"`."".....",
60000098:,00228958,00170db0,"X."".....",
60000098:,00228954,00170da8,"T."".....",
60000098:,00228950,00170d9c,"P."".....",
60000098:,0022894c,00170d9c,"L."".....",
60000098:,00228948,00170d9c,"H."".....",
60000098:,00228948,00170d94,"H."".....",
60000098:,00228948,00170d94,"H."".....",
60000098:,00228940,00170d94,"@."".....",
60000098:,00228940,00170d94,"@."".....",
60000098:,00228940,00170d8c,"@."".....",
60000098:,00228940,00170d88,"@."".....",
60000098:,00228934,00170d84,"4."".....",
60000098:,00228930,00170d84,"0."".....",
60000098:,00228928,00170d80,"(."".....",
60000098:,00228924,00170d78,"$."".x...",
60000098:,00228918,00170d70,".."".p...",
60000098:,00228914,00170d64,".."".d...",
60000098:,0022890c,00170d5c,".."".\...",
60000098:,00228908,00170d54,".."".T...",
60000098:,00228904,00170d54,".."".T...",
60000098:,00228904,00170d50,".."".P...",
60000098:,00228900,00170d48,".."".H...",
60000098:,002288f8,00170d48,".."".H...",
60000098:,002288f0,00170d44,".."".D...",
60000098:,002288e8,00170d3c,".."".<...",
60000098:,002288e4,00170d34,".."".4...",
60000098:,002288e0,00170d2c,".."".,...",
60000098:,002288dc,00170d2c,".."".,...",
60000098:,002288d8,00170d28,".."".(...",
60000098:,002288d4,00170d24,".."".$...",
60000098:,002288cc,00170d18,".."".....",
60000098:,002288c4,00170d14,".."".....",
60000098:,002288c0,00170d0c,".."".....",
60000098:,002288bc,00170d08,".."".....",
60000098:,002288b8,00170d04,".."".....",
60000098:,002288b0,00170cfc,".."".....",
60000098:,002288b0,00170cf8,".."".....",
60000098:,002288ac,00170cf4,".."".....",
60000098:,002288a8,00170cec,".."".....",
60000098:,002288a4,00170cec,".."".....",
60000098:,002288a4,00170cec,".."".....",
60000098:,002288a0,00170ce8,".."".....",
60000098:,00228898,00170ce0,".."".....",
60000098:,00228894,00170cdc,".."".....",
60000098:,00228890,00170cd8,".."".....",
60000098:,0022888c,00170cd4,".."".....",
60000098:,00228888,00170cd0,".."".....",
60000098:,00228880,00170cc8,".."".....",
60000098:,00228878,00170cc4,"x."".....",
60000098:,0022886c,00170cc4,"l."".....",
60000098:,00228868,00170cc0,"h."".....",
60000098:,00228864,00170cbc,"d."".....",
60000098:,00228864,00170cb8,"d."".....",
60000098:,00228860,00170cb0,"`."".....",
60000098:,0022885c,00170cac,"\."".....",
60000098:,00228858,00170ca0,"X."".....",
60000098:,00228858,00170c9c,"X."".....",
60000098:,00228854,00170c98,"T."".....",
60000098:,0022884c,00170c90,"L."".....",
60000098:,00228848,00170c8c,"H."".....",
60000098:,00228844,00170c88,"D."".....",
60000098:,00228840,00170c88,"@."".....",
60000098:,00228838,00170c7c,"8."".|...",
60000098:,00228830,00170c7c,"0."".|...",
60000098:,00228828,00170c78,"(."".x...",
60000098:,00228820,00170c78,"."".x...",
60000098:,0022881c,00170c74,".."".t...",
60000098:,0022881c,00170c70,".."".p...",
60000098:,0022881c,00170c6c,".."".l...",
60000098:,00228814,00170c68,".."".h...",
60000098:,00228814,00170c64,".."".d...",
60000098:,0022880c,00170c64,".."".d...",
60000098:,00228808,00170c64,".."".d...",
60000098:,00228804,00170c5c,".."".\...",
60000098:,00228804,00170c58,".."".X...",
60000098:,002287f8,00170c54,".."".T...",
60000098:,002287f0,00170c50,".."".P...",
60000098:,002287ec,00170c48,".."".H...",
60000098:,002287e8,00170c44,".."".D...",
60000098:,002287e4,00170c40,".."".@...",
60000098:,002287dc,00170c38,".."".8...",
60000098:,002287d4,00170c30,".."".0...",
60000098:,002287d0,00170c2c,".."".,...",
60000098:,002287cc,00170c2c,".."".,...",
60000098:,002287c4,00170c28,".."".(...",
60000098:,002287c4,00170c20,".."".",...
60000098:,002287c0,00170c18,".."".....",
60000098:,002287b8,00170c10,".."".....",
60000098:,002287b0,00170c0c,".."".....",
60000098:,002287ac,00170c08,".."".....",
60000098:,002287a4,00170c00,".."".....",
60000098:,002287a4,00170bfc,".."".....",
60000098:,002287a0,00170bf8,".."".....",
60000098:,00228798,00170bf8,".."".....",
60000098:,00228794,00170bf0,".."".....",
60000098:,0022878c,00170bec,".."".....",
60000098:,0022878c,00170bec,".."".....",
60000098:,00228788,00170bec,".."".....",
60000098:,00228788,00170be8,".."".....",
60000098:,00228784,00170be4,".."".....",
60000098:,00228784,00170be0,".."".....",
60000098:,00228780,00170bd8,".."".....",
60000098:,0022877c,00170bd8,"|."".....",
60000098:,00228778,00170bd4,"x."".....",
60000098:,00228774,00170bd0,"t."".....",
60000098:,00228770,00170bc8,"p."".....",
60000098:,0022876c,00170bc4,"l."".....",
60000098:,00228768,00170bc0,"h."".....",
60000098:,00228768,00170bb8,"h."".....",
60000098:,00228760,00170bb0,"`."".....",
60000098:,00228758,00170ba8,"X."".....",
60000098:,00228750,00170ba4,"P."".....",
60000098:,00228748,00170ba0,"H."".....",
60000098:,00228744,00170b98,"D."".....",
60000098:,00228740,00170b90,"@."".....",
60000098:,0022873c,00170b88,"<."".....",
60000098:,00228734,00170b80,"4."".....",
60000098:,00228730,00170b78,"0."".x...",
60000098:,00228728,00170b70,"(."".p...",
60000098:,00228724,00170b68,"$."".h...",
60000098:,00228720,00170b60,"."".`...",
60000098:,0022871c,00170b5c,".."".\...",
60000098:,00228714,00170b54,".."".T...",
60000098:,00228710,00170b4c,".."".L...",
60000098:,00228704,00170b48,".."".H...",
60000098:,002286f8,00170b3c,".."".<...",
60000098:,002286f4,00170b34,".."".4...",
60000098:,002286ec,00170b30,".."".0...",
60000098:,002286ec,00170b30,".."".0...",
60000098:,002286ec,00170b28,".."".(...",
60000098:,002286e8,00170b28,".."".(...",
60000098:,002286e4,00170b24,".."".$...",
60000098:,002286e4,00170b20,".."".",...
