addr,x,y,null,null.1
60000040:,001de450,P...,,
60000040:,001ddba0,....,,
60000040:,001de3b8,....,,
60000040:,001ddd04,....,,
60000040:,001ddd38,8...,,
60000040:,001dec08,....,,
60000040:,001de020,...,,
60000040:,001de340,@...,,
60000040:,001de010,....,,
60000040:,001ddcd8,....,,
60000040:,001de3ec,....,,
60000040:,001de31c,....,,
60000040:,001de38c,....,,
60000040:,001de72c,",...",,
60000040:,001ddd28,(...,,
60000040:,001de600,....,,
60000040:,001ddc88,....,,
60000040:,001defcc,....,,
60000040:,001ddd28,(...,,
60000040:,001de554,T...,,
60000040:,001de514,....,,
60000040:,001dde48,H...,,
60000040:,001de158,X...,,
60000040:,001ddc00,....,,
60000040:,001de2b8,....,,
60000040:,001dec38,8...,,
60000040:,001de4a0,....,,
60000040:,001de09c,....,,
60000040:,001de100,....,,
60000040:,001de13c,<...,,
60000040:,001de39c,....,,
60000040:,001de3ec,....,,
60000040:,001ddb28,(...,,
60000040:,001ddda4,....,,
60000040:,001ddde0,....,,
60000040:,001de568,h...,,
60000040:,001de6f4,....,,
60000040:,001de620,...,,
60000040:,001de34c,L...,,
60000040:,001de3ac,....,,
60000040:,001dd854,T...,,
60000040:,001ddfc0,....,,
60000040:,001ddeb4,....,,
60000040:,001ddde4,....,,
60000040:,001de418,....,,
60000040:,001dde48,H...,,
60000040:,001ddee0,....,,
60000040:,001ddd74,t...,,
60000040:,001de09c,....,,
60000040:,001de0fc,....,,
60000040:,001de170,p...,,
60000040:,001ddaa0,....,,
60000040:,001ddfa0,....,,
60000040:,001ddfa0,....,,
60000040:,001ddb64,d...,,
60000040:,001dd8bc,....,,
60000040:,001dd7e8,....,,
60000040:,001ddc2c,",...",,
60000040:,001ddd0c,....,,
60000040:,001de0d4,....,,
60000040:,001de298,....,,
60000040:,001de114,....,,
60000040:,001de3bc,....,,
60000040:,001ddf68,h...,,
60000040:,001ddddc,....,,
60000040:,001de3a8,....,,
60000040:,001de0e0,....,,
60000040:,001de450,P...,,
60000040:,001ddc94,....,,
60000040:,001de17c,|...,,
60000040:,001ddd70,p...,,
60000040:,001dd8c0,....,,
60000040:,001deb70,p...,,
60000040:,001ddf4c,L...,,
60000040:,001ddb2c,",...",,
60000040:,001de564,d...,,
60000040:,001de3dc,....,,
60000040:,001dde08,....,,
60000040:,001deb98,....,,
60000040:,001de4b8,....,,
60000040:,001de33c,<...,,
60000040:,001de590,....,,
60000040:,001de19c,....,,
60000040:,001dde90,....,,
60000040:,001dea98,....,,
60000040:,001de42c,",...",,
60000040:,001de160,`...,,
60000040:,001de478,x...,,
60000040:,001de118,....,,
60000040:,001de6d8,....,,
60000040:,001de4b8,....,,
60000040:,001de360,`...,,
60000040:,001de904,....,,
60000040:,001de064,d...,,
60000040:,001de0a4,....,,
60000040:,001de22c,",...",,
60000040:,001de10c,....,,
60000040:,001de284,....,,
60000040:,001de448,H...,,
60000040:,001de794,....,,
60000040:,001dded8,....,,
60000040:,001de520,...,,
60000040:,001dede4,....,,
60000040:,001de2d4,....,,
60000040:,001de1cc,....,,
60000040:,001de384,....,,
60000040:,001de68c,....,,
60000040:,001de5ac,....,,
60000040:,001de5f0,....,,
60000040:,001de21c,....,,
60000040:,001de578,x...,,
60000040:,001de4c4,....,,
60000040:,001de560,`...,,
60000040:,001de0b0,....,,
60000040:,001de470,p...,,
60000040:,001de9e4,....,,
60000040:,001ddcfc,....,,
60000040:,001de0d0,....,,
60000040:,001ddfcc,....,,
60000040:,001de404,....,,
60000040:,001de188,....,,
60000040:,001de0a4,....,,
60000040:,001de148,H...,,
60000040:,001dee68,h...,,
60000040:,001de018,....,,
60000040:,001de66c,l...,,
60000040:,001de180,....,,
60000040:,001de46c,l...,,
60000040:,001deae4,....,,
60000040:,001de044,D...,,
60000040:,001ddfdc,....,,
60000040:,001de3fc,....,,
60000040:,001de6dc,....,,
60000040:,001de1c8,....,,
60000040:,001de294,....,,
60000040:,001de698,....,,
60000040:,001de3fc,....,,
60000040:,001de788,....,,
60000040:,001de560,`...,,
60000040:,001ddea4,....,,
60000040:,001dea68,h...,,
60000040:,001de108,....,,
60000040:,001de9f0,....,,
60000040:,001de804,....,,
60000040:,001de5d0,....,,
60000040:,001de878,x...,,
60000040:,001ddef4,....,,
60000040:,001de7a4,....,,
60000040:,001deb1c,....,,
60000040:,001de3fc,....,,
60000040:,001de2e0,....,,
60000040:,001de7f4,....,,
