addr,x,y,null,null.1
60000040:,001ebfd8,....,,
60000040:,001ec5c4,....,,
60000040:,001ec554,T...,,
60000040:,001ecebc,....,,
60000040:,001ec7ac,....,,
60000040:,001ebc1c,....,,
60000040:,001eb980,....,,
60000040:,001ec13c,<...,,
60000040:,001ec380,....,,
60000040:,001ec598,....,,
60000040:,001ecb8c,....,,
60000040:,001ecce8,....,,
60000040:,001ec458,X...,,
60000040:,001ec088,....,,
60000040:,001ec208,....,,
60000040:,001ec798,....,,
60000040:,001ec414,....,,
60000040:,001eca3c,<...,,
60000040:,001ec6b0,....,,
60000040:,001ebe30,0...,,
60000040:,001ec028,(...,,
60000040:,001ec4a0,....,,
60000040:,001ec54c,L...,,
60000040:,001ed550,P...,,
60000040:,001ec6cc,....,,
60000040:,001ec830,0...,,
60000040:,001ec590,....,,
60000040:,001ed7c0,....,,
60000040:,001ec7a0,....,,
60000040:,001ecb70,p...,,
60000040:,001ecb7c,|...,,
60000040:,001ec9a4,....,,
60000040:,001ed450,P...,,
60000040:,001ed23c,<...,,
60000040:,001ed544,D...,,
60000040:,001ed62c,",...",,
60000040:,001ec6ac,....,,
60000040:,001ebb04,....,,
60000040:,001ec6a8,....,,
60000040:,001ec21c,....,,
60000040:,001ecd68,h...,,
60000040:,001ecda0,....,,
60000040:,001ec418,....,,
60000040:,001ec624,$...,,
60000040:,001ec87c,|...,,
60000040:,001edbc8,....,,
60000040:,001ec824,$...,,
60000040:,001ec918,....,,
60000040:,001ec9f8,....,,
60000040:,001ebddc,....,,
60000040:,001ec3b8,....,,
60000040:,001ec5cc,....,,
60000040:,001ec87c,|...,,
60000040:,001ec3c8,....,,
60000040:,001ec240,@...,,
60000040:,001ec10c,....,,
60000040:,001ec1ac,....,,
60000040:,001ec344,D...,,
60000040:,001e4c40,@L..,,
60000040:,001f69a0,.i..,,
60000040:,001e2484,.$..,,
60000040:,001ed198,....,,
60000040:,001ecacc,....,,
60000040:,001ed6c0,....,,
60000040:,001ed3bc,....,,
60000040:,001ecc50,P...,,
60000040:,001ed050,P...,,
60000040:,001ecf5c,\...,,
60000040:,001ecfec,....,,
60000040:,001ecf2c,",...",,
60000040:,001ed4b8,....,,
60000040:,001ed2b0,....,,
60000040:,001ec9b8,....,,
60000040:,001ed0e4,....,,
60000040:,001ec4cc,....,,
60000040:,001ec964,d...,,
60000040:,001ec82c,",...",,
60000040:,001ec84c,L...,,
60000040:,001ebf64,d...,,
60000040:,001ec710,....,,
60000040:,001ecaa8,....,,
60000040:,001ecac0,....,,
60000040:,001ed10c,....,,
60000040:,001ecca0,....,,
60000040:,001ec5e0,....,,
60000040:,001ec00c,....,,
60000040:,001ec7b0,....,,
60000040:,001ecea0,....,,
60000040:,001ec808,....,,
60000040:,001ecea8,....,,
60000040:,001edda0,....,,
60000040:,001ed028,(...,,
60000040:,001ec7d0,....,,
60000040:,001ecdf0,....,,
60000040:,001ecfa4,....,,
60000040:,001eca70,p...,,
60000040:,001ecda8,....,,
60000040:,001ed39c,....,,
60000040:,001ecb44,D...,,
60000040:,001ec208,....,,
60000040:,001ec86c,l...,,
60000040:,001ec660,`...,,
60000040:,001ec7cc,....,,
60000040:,001ecd2c,",...",,
60000040:,001f2d6c,l-..,,
60000040:,001ece68,h...,,
60000040:,001ed160,`...,,
60000040:,001ed9d0,....,,
60000040:,001fb0ac,....,,
60000040:,001f77c4,.w..,,
60000040:,001ec878,x...,,
60000040:,001ec83c,<...,,
60000040:,001ee11c,....,,
60000040:,001eca80,....,,
60000040:,001ef794,....,,
60000040:,001f09dc,....,,
60000040:,001ebc00,....,,
60000040:,001f1c7c,|...,,
60000040:,001f4854,TH..,,
60000040:,001f37f8,.7..,,
60000040:,001f3b68,h;..,,
60000040:,001ed2f0,....,,
60000040:,001f2404,.$..,,
60000040:,001ec3dc,....,,
60000040:,001ec8f8,....,,
60000040:,001ecad8,....,,
60000040:,001f008c,....,,
60000040:,001efba0,....,,
60000040:,001efb64,d...,,
60000040:,001ed4bc,....,,
60000040:,001ef04c,L...,,
60000040:,001ebe60,`...,,
60000040:,001ebb68,h...,,
60000040:,001ec570,p...,,
60000040:,001ec83c,<...,,
60000040:,001f2e18,....,,
60000040:,001ecd0c,....,,
60000040:,001effb0,....,,
60000040:,001ef374,t...,,
60000040:,001ec0b0,....,,
60000040:,001eca98,....,,
60000040:,001eddfc,....,,
60000040:,001f6090,.`..,,
60000040:,001f0530,0...,,
60000040:,001ecee8,....,,
60000040:,001ec88c,....,,
60000040:,001ed300,....,,
60000040:,001ed814,....,,
60000040:,001eca48,H...,,
60000040:,001ed838,8...,,
60000040:,001f20b8,.,..,
60000040:,001ed864,d...,,
60000040:,001ece80,....,,
60000040:,001ece98,....,,
60000040:,001ed8c4,....,,
60000040:,001eebec,....,,
60000040:,001ed3a0,....,,
60000040:,001ece28,(...,,
60000040:,001ed984,....,,
60000040:,001ed770,p...,,
