addr,x,y,null,null.1
60000098:,003fdd08,003dd464,..?.d.=.,
60000098:,003fdd04,003dd45c,..?.\.=.,
60000098:,003fdd04,003dd45c,..?.\.=.,
60000098:,003fdd04,003dd458,..?.X.=.,
60000098:,003fdd04,003dd458,..?.X.=.,
60000098:,003fdcfc,003dd454,..?.T.=.,
60000098:,003fdcf4,003dd450,..?.P.=.,
60000098:,003fdcf4,003dd464,..?.d.=.,
60000098:,003fdcec,003dd45c,..?.\.=.,
60000098:,003fdce0,003dd454,..?.T.=.,
60000098:,003fdcdc,003dd444,..?.D.=.,
60000098:,003fdcd4,003dd428,..?.(.=.,
60000098:,003fdcd0,003dd42c,"..?.,.=.",
60000098:,003fdcc8,003dd424,..?.$.=.,
60000098:,003fdcc4,003dd420,..?.,.=.
60000098:,003fdcbc,003dd41c,..?...=.,
60000098:,003fdcb0,003dd40c,..?...=.,
60000098:,003fdcac,003dd408,..?...=.,
60000098:,003fdcac,003dd408,..?...=.,
60000098:,003fdca4,003dd408,..?...=.,
60000098:,003fdc9c,003dd404,..?...=.,
60000098:,003fdc94,003dd3fc,..?...=.,
60000098:,003fdc90,003dd3fc,..?...=.,
60000098:,003fdc90,003dd3f8,..?...=.,
60000098:,003fdc88,003dd3ec,..?...=.,
60000098:,003fdc80,003dd3e4,..?...=.,
60000098:,003fdc7c,003dd3dc,|.?...=.,
60000098:,003fdc7c,003dd3e4,|.?...=.,
60000098:,003fdc78,003dd3e4,x.?...=.,
60000098:,003fdc78,003dd3e0,x.?...=.,
60000098:,003fdc78,003dd3d4,x.?...=.,
60000098:,003fdc78,003dd3d4,x.?...=.,
60000098:,003fdc78,003dd3cc,x.?...=.,
60000098:,003fdc6c,003dd3cc,l.?...=.,
60000098:,003fdc68,003dd3cc,h.?...=.,
60000098:,003fdc68,003dd3cc,h.?...=.,
60000098:,003fdc64,003dd3d4,d.?...=.,
60000098:,003fdc5c,003dd3cc,\.?...=.,
60000098:,003fdc58,003dd3c8,X.?...=.,
60000098:,003fdc54,003dd3c4,T.?...=.,
60000098:,003fdc54,003dd3bc,T.?...=.,
60000098:,003fdc50,003dd3b4,P.?...=.,
60000098:,003fdc48,003dd3ac,H.?...=.,
60000098:,003fdc44,003dd3a4,D.?...=.,
60000098:,003fdc38,003dd3a4,8.?...=.,
60000098:,003fdc34,003dd3a0,4.?...=.,
60000098:,003fdc2c,003dd39c,",.?...=.",
