addr,x,y,null,null.1
60000098:,0003a8cc,00251af4,......%.,
60000098:,0003a8cc,00251af4,......%.,
60000098:,0003a8fc,00251d4c,....L.%.,
60000098:,0003a8fc,00251d4c,....L.%.,
60000098:,0003a934,00251fa8,4.....%.,
60000098:,0003a934,00251fa8,4.....%.,
60000098:,0003a970,00252200,"p....""%.",
60000098:,0003a9ac,0025245c,....\$%.,
60000098:,0003a9e4,002526b8,.....&%.,
60000098:,0003aa20,00252914,....)%.,
60000098:,0003aa44,00252aa4,D....*%.,
60000098:,0003aa80,00252cfc,".....,%.",
60000098:,0003aabc,00252f58,....X/%.,
60000098:,0003aaf8,002531b8,.....1%.,
60000098:,0003ab30,00253418,0....4%.,
60000098:,0003ab58,002535a4,X....5%.,
60000098:,0003ab94,00253800,.....8%.,
60000098:,0003abcc,00253a58,....X:%.,
60000098:,0003ac04,00253cb4,.....<%.,
60000098:,0003ac40,00253f10,@....?%.,
60000098:,0003ac68,002540a0,h....@%.,
60000098:,0003aca0,00254300,.....C%.,
60000098:,0003acd8,00254560,....`E%.,
60000098:,0003ad14,002547bc,.....G%.,
60000098:,0003ad50,00254a1c,P....J%.,
60000098:,0003ad78,00254bb0,x....K%.,
60000098:,0003adb4,00254e10,.....N%.,
60000098:,0003adec,00255068,....hP%.,
60000098:,0003ae24,002552c4,$....R%.,
60000098:,0003ae4c,00255454,L...TT%.,
60000098:,0003ae60,00255520,`...,U%.
60000098:,0003ae84,002556b0,.....V%.,
60000098:,0003ae94,0025577c,....|W%.,
60000098:,0003aebc,00255910,.....Y%.,
60000098:,0003aebc,00255910,.....Y%.,
60000098:,0003aef8,00255b6c,....l[%.,
60000098:,0003aef8,00255b6c,....l[%.,
60000098:,0003af1c,00255d00,.....]%.,
60000098:,0003af58,00255f60,X...`_%.,
60000098:,0003af94,002561b8,.....a%.,
60000098:,0003afd0,00256410,.....d%.,
60000098:,0003b00c,00256668,....hf%.,
60000098:,0003b034,002567f8,4....g%.,
60000098:,0003b070,00256a50,p...Pj%.,
60000098:,0003b0ac,00256cac,.....l%.,
60000098:,0003b0e8,00256f08,.....o%.,
60000098:,0003b120,00257160,...`q%.,
60000098:,0003b148,002572f4,H....r%.,
60000098:,0003b184,00257550,....Pu%.,
60000098:,0003b1c0,002577ac,.....w%.,
60000098:,0003b1fc,00257a0c,.....z%.,
60000098:,0003b238,00257c64,8...d|%.,
60000098:,0003b270,00257ec8,p....~%.,
60000098:,0003b298,00258058,....X.%.,
60000098:,0003b2d0,002582b8,......%.,
60000098:,0003b30c,00258510,......%.,
60000098:,0003b348,00258768,H...h.%.,
60000098:,0003b380,002589c4,......%.,
60000098:,0003b3bc,00258c20,....,.%.
60000098:,0003b3e4,00258db8,......%.,
60000098:,0003b41c,00259014,......%.,
60000098:,0003b41c,00259014,......%.,
60000098:,0003b458,00259270,X...p.%.,
60000098:,0003b458,00259270,X...p.%.,
60000098:,0003b494,002594cc,......%.,
60000098:,0003b494,002594cc,......%.,
60000098:,0003b4c8,00259728,....(.%.,
60000098:,0003b4c8,00259728,....(.%.,
60000098:,0003b4f0,002598c0,......%.,
60000098:,0003b52c,00259b20,",...",.%.
