addr,x,y,null,null.1
60000098:,0006d318,00072144,....D!..,
60000098:,0006d314,000721c4,.....!..,
60000098:,0006d32c,000722d0,",....""..",
60000098:,0006d338,00072358,8...X,
60000098:,0006d350,00072464,P...d$..,
60000098:,0006d35c,000724e8,\....$..,
60000098:,0006d374,000725f4,t....%..,
60000098:,0006d398,00072780,.....'..,
60000098:,0006d3bc,00072914,.....)..,
60000098:,0006d3d4,00072a20,....,*..
60000098:,0006d3f8,00072bb4,.....+..,
60000098:,0006d41c,00072d44,....D-..,
60000098:,0006d440,00072ed8,@.......,
60000098:,0006d464,00073070,d...p0..,
60000098:,0006d488,000731fc,.....1..,
60000098:,0006d4a0,00073308,.....3..,
60000098:,0006d4c4,00073494,.....4..,
60000098:,0006d4e8,00073628,....(6..,
60000098:,0006d50c,000737bc,.....7..,
60000098:,0006d530,0007394c,0...L9..,
60000098:,0006d554,00073adc,T....:..,
60000098:,0006d56c,00073be8,l....;..,
60000098:,0006d590,00073d7c,....|=..,
60000098:,0006d5b4,00073f10,.....?..,
60000098:,0006d5d8,000740a4,.....@..,
60000098:,0006d5fc,00074234,....4B..,
60000098:,0006d620,000743c0,....C..,
60000098:,0006d638,000744c8,8....D..,
60000098:,0006d65c,0007465c,\...\F..,
60000098:,0006d680,000747f0,.....G..,
60000098:,0006d680,000747f0,.....G..,
60000098:,0006d6a4,00074980,.....I..,
60000098:,0006d6a4,00074980,.....I..,
60000098:,0006d6c8,00074b14,.....K..,
60000098:,0006d6c8,00074b14,.....K..,
60000098:,0006d6e0,00074c20,....,L..
60000098:,0006d6ec,00074ca8,.....L..,
60000098:,0006d704,00074db0,.....M..,
60000098:,0006d728,00074f44,(...DO..,
60000098:,0006d74c,000750d0,L....P..,
60000098:,0006d770,00075260,p...`R..,
60000098:,0006d794,000753f0,.....S..,
60000098:,0006d7ac,00075500,.....U..,
60000098:,0006d7d0,00075690,.....V..,
60000098:,0006d7f4,00075824,....$X..,
60000098:,0006d818,000759b4,.....Y..,
60000098:,0006d83c,00075b3c,<...<[..,
60000098:,0006d860,00075cc8,`....\..,
60000098:,0006d884,00075e58,....X^..,
60000098:,0006d89c,00075f68,....h_..,
60000098:,0006d8c0,000760f4,.....`..,
60000098:,0006d8e4,00076288,.....b..,
60000098:,0006d908,00076414,.....d..,
60000098:,0006d92c,000765a4,",....e..",
60000098:,0006d944,000766ac,D....f..,
60000098:,0006d968,00076838,h...8h..,
60000098:,0006d98c,000769c8,.....i..,
60000098:,0006d9b0,00076b5c,....\k..,
60000098:,0006d9d4,00076cec,.....l..,
60000098:,0006d9ec,00076df8,.....m..,
60000098:,0006da04,00076f00,.....o..,
60000098:,0006da10,00076f84,.....o..,
60000098:,0006da28,0007708c,(....p..,
60000098:,0006da34,00077110,4....q..,
60000098:,0006da4c,0007721c,L....r..,
60000098:,0006da58,000772a0,X....r..,
60000098:,0006da70,000773a8,p....s..,
60000098:,0006da7c,0007742c,"|...,t..",
60000098:,0006da94,00077538,....8u..,
60000098:,0006dab8,000776c8,.....v..,
60000098:,0006dad0,000777d0,.....w..,
60000098:,0006daf4,00077964,....dy..,
60000098:,0006db18,00077af4,.....z..,
60000098:,0006db3c,00077c80,<....|..,
60000098:,0006db60,00077e14,`....~..,
60000098:,0006db78,00077f1c,x.......,
60000098:,0006db9c,000780b0,........,
60000098:,0006dbc0,00078240,....@...,
60000098:,0006dbe4,000783d4,........,
60000098:,0006dc08,00078560,....`...,
60000098:,0006dc20,00078668,...h...,
60000098:,0006dc44,000787fc,D.......,
60000098:,0006dc68,00078990,h.......,
60000098:,0006dc8c,00078b24,....$...,
60000098:,0006dcb0,00078cb4,........,
60000098:,0006dcd4,00078e48,....H...,
60000098:,0006dcec,00078f54,....T...,
60000098:,0006dd10,000790e8,........,
60000098:,0006dd34,0007927c,4...|...,
60000098:,0006dd58,0007940c,X.......,
60000098:,0006dd7c,00079598,|.......,
60000098:,0006dd94,000796a4,........,
60000098:,0006ddac,000797b4,........,
60000098:,0006ddb8,0007983c,....<...,
60000098:,0006ddd0,00079944,....D...,
60000098:,0006dddc,000799cc,........,
60000098:,0006dde8,00079a54,....T...,
60000098:,0006de00,00079b60,....`...,
60000098:,0006de0c,00079be8,........,
60000098:,0006de30,00079d7c,0...|...,
60000098:,0006de54,00079f0c,T.......,
60000098:,0006de78,0007a0a4,x.......,
60000098:,0006de9c,0007a234,....4...,
60000098:,0006dec0,0007a3c8,........,
60000098:,0006ded8,0007a4d4,........,
60000098:,0006defc,0007a660,....`...,
