addr,x,y,null,null.1
60000040:,0035c8c8,..5.,,
60000040:,000ba604,....,,
60000040:,0000bd9c,....,,
60000040:,0015a74c,L...,,
60000040:,000af724,$...,,
60000040:,001fed20,...,,
60000040:,001568c4,.h..,,
60000040:,001fc100,....,,
60000040:,002b07dc,..+.,,
60000040:,003534a4,.45.,,
60000040:,003f09cc,..?.,,
60000040:,0007a544,D...,,
60000040:,00137628,(v..,,
60000040:,001e9038,8...,,
60000040:,0027691c,.i'.,,
60000040:,00319abc,..1.,,
60000040:,0039f490,..9.,,
60000040:,0005d1c0,....,,
60000040:,00101060,`...,,
60000040:,001a67a0,.g..,,
60000040:,00286bf4,.k(.,,
60000040:,00329230,0.2.,,
60000040:,003c04f8,..<.,,
60000040:,00066f20,o..,,
60000040:,00109204,....,,
60000040:,001d7068,hp..,,
60000040:,00278780,..'.,,
60000040:,0030f8b8,..0.,,
60000040:,003bca60,`.;.,,
60000040:,003a5ce4,.\:.,,
60000040:,0006ac90,....,,
60000040:,0008c508,....,,
60000040:,0013e2d0,....,,
60000040:,0014ba88,....,,
60000040:,001f19d8,....,,
60000040:,001eefe4,....,,
60000040:,0029be5c,\.).,,
60000040:,0029a91c,..).,,
60000040:,0033f4f4,..3.,,
60000040:,00000664,d...,,
60000040:,000bd3a8,....,,
60000040:,00158028,(...,,
60000040:,001f4f8c,.O..,,
60000040:,00290d78,x.).,,
60000040:,00364ab8,.J6.,,
60000040:,0000d88c,....,,
60000040:,00097058,Xp..,,
60000040:,0013e25c,\...,,
60000040:,001ea110,....,,
60000040:,0029a568,h.).,,
60000040:,00335544,DU3.,,
60000040:,003ce900,..<.,,
60000040:,0007f508,....,,
60000040:,0011c794,....,,
60000040:,001a9270,p...,,
60000040:,0023fde0,..,,
60000040:,002d5818,.X-.,,
60000040:,0036cc74,t.6.,,
60000040:,003fa7c8,..?.,,
60000040:,0008bb88,....,,
60000040:,003f0db4,..?.,,
60000040:,00164ef0,.N..,,
60000040:,0007ebe0,....,,
60000040:,0020b70c,..,.,
60000040:,0013d048,H...,,
60000040:,002a8c5c,\.*.,,
60000040:,001e4f50,PO..,,
60000040:,0033f9c0,..3.,,
60000040:,002725f8,.%'.,,
60000040:,003058e4,.X0.,,
60000040:,003905c4,..9.,,
60000040:,00050ea0,....,,
60000040:,000ee238,8...,,
60000040:,0016ea9c,....,,
60000040:,0020c858,X.,.,
60000040:,002a08ec,..*.,,
60000040:,00335838,8X3.,,
60000040:,003d0f6c,l.=.,,
60000040:,0005f57c,|...,,
60000040:,00116704,.g..,,
60000040:,001bc23c,<...,,
