addr,x,y,null,null.1
60000040:,002f4be8,.K/.,,
60000040:,003690ec,..6.,,
60000040:,003d38ec,.8=.,,
60000040:,00048d80,....,,
60000040:,000a67d8,.g..,,
60000040:,000f9478,x...,,
60000040:,0015856c,l...,,
60000040:,001eb4d0,....,,
60000040:,0028aa58,X.(.,,
60000040:,00327594,.u2.,,
60000040:,003a7470,pt:.,,
60000040:,00035590,.U..,,
60000040:,001149c0,.I..,,
60000040:,001b6b20,k..,,
60000040:,0024ff00,..$.,,
60000040:,002d52d4,.R-.,,
60000040:,00371d44,D.7.,,
60000040:,0002c668,h...,,
60000040:,000c6754,Tg..,,
60000040:,0015fe44,D...,,
60000040:,0022a2d4,".."".",,
60000040:,002db1a0,..-.,,
60000040:,00373760,`77.,,
60000040:,00009e20,...,,
60000040:,0009b19c,....,,
60000040:,0014de14,....,,
60000040:,001e83e0,....,,
60000040:,0027acd8,..'.,,
60000040:,00306de4,.m0.,,
60000040:,00263f30,0?&.,,
60000040:,003937d8,.79.,,
60000040:,0031d1c8,..1.,,
60000040:,0005bdb0,....,,
60000040:,003e3bb8,.;>.,,
60000040:,001099c4,....,,
60000040:,00084a98,.J..,,
60000040:,001a35f4,.5..,,
60000040:,001101dc,....,,
60000040:,001aa364,d...,,
60000040:,00283aa0,.:(.,,
60000040:,0032b698,..2.,,
60000040:,003c79b8,.y<.,,
60000040:,00066b80,.k..,,
60000040:,000f38c0,.8..,,
60000040:,001ae434,4...,,
60000040:,00258fec,..%.,,
60000040:,002e3c3c,<<..,,
60000040:,0037ae9c,..7.,,
60000040:,0002d730,0...,,
60000040:,000c57e0,.W..,,
60000040:,00161a4c,L...,,
60000040:,001ec9ac,....,,
60000040:,002b1d30,0.+.,,
60000040:,0034b348,H.4.,,
60000040:,003e373c,<7>.,,
60000040:,000838b8,.8..,,
60000040:,0010c508,....,,
60000040:,001da338,8...,,
60000040:,0027a394,..'.,,
60000040:,0030d53c,<.0.,,
60000040:,002ff02c,",./.",,
60000040:,003a1ee0,..:.,,
60000040:,0039cac4,..9.,,
60000040:,0005b158,X...,,
60000040:,00057ce0,.|..,,
60000040:,000f019c,....,,
60000040:,000fd600,....,,
60000040:,001828b0,.(..,,
60000040:,0019ca7c,|...,,
60000040:,002475c0,.u$.,,
60000040:,002dde08,..-.,,
60000040:,0037a524,$.7.,,
60000040:,00017cb0,.|..,,
60000040:,000b2718,.'..,,
60000040:,0019ff3c,<...,,
60000040:,0025b118,..%.,,
60000040:,002f9928,(./.,,
60000040:,0039be24,$.9.,,
60000040:,0002ef7c,|...,,
60000040:,000ea3e0,....,,
60000040:,0019563c,<V..,,
60000040:,0023412c,",A",,
60000040:,002cd7e0,"..,.",,
60000040:,00380bc0,..8.,,
60000040:,000290d4,....,,
60000040:,000cce74,t...,,
60000040:,001589c4,....,,
60000040:,00233a00,.:,,
60000040:,002deafc,..-.,,
60000040:,003869a8,.i8.,,
60000040:,00027af0,.z..,,
60000040:,000db374,t...,,
60000040:,0016cbc8,....,,
60000040:,001a8d7c,|...,,
60000040:,0022e828,"(."".",,
60000040:,0024b878,x.$.,,
60000040:,002c5238,"8R,.",,
